learn:mm.csv check:xkd.csv 	 Result: 	0.28625456813134137 	5229 	1906
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  变天A1.0 颠覆B1.0
  	class: 深刻  	d: 10  	pt: 2.0  	diff:  力透纸背A1.0 尖锐B1.0
  	class: 弱小  	d: 15  	pt: 2.0  	diff:  柔弱A0.6666666666666666 弱小A0.3333333333333333 虚弱B1.0
  	class: 连绵  	d: 10  	pt: 2.0  	diff:  持续性A1.0 绵延B1.0
  	class: 翘  	d: 6  	pt: 2.0  	diff:  抬A1.0 企B1.0
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  油滑A1.0 圆滑B0.1111111111111111 灵活性B0.8888888888888888
  	class: 暗  	d: 12  	pt: 2.0  	diff:  暗淡A0.5 昏暗A0.25 幽暗A0.25 森B1.0
  	class: 如林  	d: 11  	pt: 2.0  	diff:  成堆A1.0 不乏B1.0
  	class: 久违  	d: 2  	pt: 2.0  	diff:  久违A1.0 少见B1.0
  	class: 直率  	d: 14  	pt: 2.0  	diff:  脆A1.0 坦承B0.5 直率B0.5
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  有神A1.0 昂扬B1.0
  	class: 煮  	d: 9  	pt: 2.0  	diff:  煮A0.7142857142857143 闷A0.14285714285714285 焖A0.14285714285714285 扒B1.0
  	class: 通顺  	d: 10  	pt: 2.0  	diff:  流利A1.0 流畅B1.0
  	class: 回头  	d: 3  	pt: 2.0  	diff:  扭头A1.0 掉头B1.0
  	class: 可耻  	d: 20  	pt: 2.0  	diff:  没脸A0.125 羞耻A0.375 可耻A0.5 难看B1.0
  	class: 酸  	d: 5  	pt: 2.0  	diff:  酸A1.0 发酸B1.0
  	class: 高超  	d: 12  	pt: 2.0  	diff:  都行A1.0 巧妙B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  贱A1.0 低价B1.0
  	class: 凸起  	d: 8  	pt: 2.0  	diff:  暴A1.0 崛起B1.0
  	class: 特意  	d: 7  	pt: 2.0  	diff:  特地A1.0 专程B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  呆滞A1.0 生硬B1.0
  	class: 散发  	d: 3  	pt: 2.0  	diff:  分发A1.0 散发B1.0
  	class: 飘  	d: 25  	pt: 2.0  	diff:  飘A0.8333333333333334 飞扬A0.16666666666666666 回荡B0.4 飘荡B0.2 飘扬B0.4
  	class: 必要  	d: 10  	pt: 2.0  	diff:  必备A1.0 必需B1.0
  	class: 积极  	d: 10  	pt: 2.0  	diff:  能动A1.0 积极性B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  摇头A1.0 舞狮B1.0
  	class: 散步  	d: 7  	pt: 2.0  	diff:  遛A1.0 散步B0.5 溜达B0.5
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  看上A1.0 忠于B0.8888888888888888 动情B0.1111111111111111
  	class: 进步  	d: 21  	pt: 2.0  	diff:  进化A0.5 学好A0.5 先进B0.6111111111111112 上扬B0.05555555555555555 上进B0.05555555555555555 前行B0.2777777777777778
  	class: 解脱  	d: 8  	pt: 2.0  	diff:  开脱A1.0 脱身B0.1111111111111111 解脱B0.1111111111111111 摆脱B0.7777777777777778
  	class: 清高  	d: 13  	pt: 2.0  	diff:  脱俗A1.0 淡泊B1.0
  	class: 胜任  	d: 4  	pt: 2.0  	diff:  胜任A1.0 不负B1.0
  	class: 得罪  	d: 8  	pt: 2.0  	diff:  得罪A1.0 触犯B0.75 顶撞B0.25
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩A1.0 钦佩B1.0
