learn:gkw.csv check:xkd.csv 	 Result: 	0.24434943820435345 	8137 	2867
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  草草A1.0 含糊B1.0
  	class: 不合  	d: 10  	pt: 2.0  	diff:  不符A1.0 不合B1.0
  	class: 积极  	d: 10  	pt: 2.0  	diff:  能动A1.0 积极性B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  摇A0.6666666666666666 摇头A0.3333333333333333 舞狮B1.0
  	class: 暗害  	d: 6  	pt: 2.0  	diff:  谋害A1.0 暗算B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  倾心A1.0 忠于B0.8888888888888888 动情B0.1111111111111111
  	class: 清高  	d: 13  	pt: 2.0  	diff:  脱俗A1.0 淡泊B1.0
  	class: 得罪  	d: 8  	pt: 2.0  	diff:  冒犯A1.0 触犯B0.75 顶撞B0.25
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩服A1.0 钦佩B1.0
  	class: 并重  	d: 8  	pt: 2.0  	diff:  并列A1.0 并称B1.0
  	class: 簇拥  	d: 3  	pt: 2.0  	diff:  拥A1.0 簇拥B1.0
  	class: 满目疮痍  	d: 20  	pt: 2.0  	diff:  血雨腥风A1.0 生灵涂炭B1.0
  	class: 擦  	d: 13  	pt: 2.0  	diff:  擀A0.16666666666666666 擦拭A0.8333333333333334 拂拭B1.0
  	class: 把握  	d: 4  	pt: 2.0  	diff:  握住A1.0 把握B1.0
  	class: 推卸  	d: 8  	pt: 2.0  	diff:  卸A1.0 推诿B0.8 踢皮球B0.06666666666666667 推卸B0.13333333333333333
  	class: 灌  	d: 4  	pt: 2.0  	diff:  灌注A1.0 滴灌B0.5 倒灌B0.5
  	class: 修理  	d: 7  	pt: 2.0  	diff:  修缮A1.0 整修B1.0
  	class: 翻  	d: 3  	pt: 2.0  	diff:  倒入A1.0 掀翻B1.0
  	class: 挑拨  	d: 11  	pt: 2.0  	diff:  挑唆A0.5 捣鼓A0.5 挑拨B1.0
  	class: 踏遍  	d: 2  	pt: 2.0  	diff:  走遍A1.0 踏遍B1.0
  	class: 蹂躏  	d: 8  	pt: 2.0  	diff:  鱼肉A0.2857142857142857 蹂躏A0.7142857142857143 动手动脚B0.25 践踏B0.5 轮奸B0.25
  	class: 改过  	d: 25  	pt: 2.0  	diff:  悔过A0.5 洗心革面A0.5 回头B1.0
  	class: 观望  	d: 10  	pt: 2.0  	diff:  观望A1.0 坐视B0.5 旁观B0.5
  	class: 锻炼  	d: 12  	pt: 2.0  	diff:  锻炼A1.0 闯B0.75 磨砺B0.25
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  变色A1.0 变脸B1.0
  	class: 料到  	d: 4  	pt: 2.0  	diff:  料到A1.0 试想B1.0
  	class: 领会  	d: 8  	pt: 2.0  	diff:  会心A0.5 会意A0.5 领会B1.0
  	class: 原谅  	d: 8  	pt: 2.0  	diff:  见谅A1.0 谅解B1.0
  	class: 保重  	d: 2  	pt: 2.0  	diff:  保重A1.0 珍重B1.0
  	class: 呼应  	d: 11  	pt: 2.0  	diff:  对号入座A1.0 呼应B1.0
  	class: 处决  	d: 7  	pt: 2.0  	diff:  处死A1.0 镇压B1.0
  	class: 开战  	d: 5  	pt: 2.0  	diff:  开火A1.0 宣战B1.0
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻扎A0.3333333333333333 驻守A0.16666666666666666 屯A0.5 驻B0.9130434782608695 驻防B0.043478260869565216 进驻B0.043478260869565216
  	class: 并吞  	d: 7  	pt: 2.0  	diff:  吞噬A1.0 兼并B1.0
  	class: 打扰  	d: 3  	pt: 2.0  	diff:  打扰A1.0 扰B1.0
  	class: 歼灭  	d: 8  	pt: 2.0  	diff:  歼灭A1.0 歼B1.0
  	class: 撤兵  	d: 10  	pt: 2.0  	diff:  撤军A1.0 撤退B0.6 后撤B0.2 撤走B0.2
  	class: 办理  	d: 2  	pt: 2.0  	diff:  操办A1.0 办理B1.0
  	class: 立户  	d: 6  	pt: 2.0  	diff:  成家立业A1.0 立业B1.0
  	class: 开拓  	d: 2  	pt: 2.0  	diff:  开拓A1.0 开辟B1.0
  	class: 首创  	d: 3  	pt: 2.0  	diff:  始创A1.0 首创B1.0
  	class: 签到  	d: 4  	pt: 2.0  	diff:  登录A0.8888888888888888 记名A0.1111111111111111 签到B1.0
  	class: 演奏  	d: 4  	pt: 2.0  	diff:  演奏A1.0 奏B1.0
  	class: 检查  	d: 16  	pt: 2.0  	diff:  检视A1.0 查验B0.125 查实B0.5 稽察B0.125 视察B0.125 查查B0.125
  	class: 聘请  	d: 7  	pt: 2.0  	diff:  聘请A1.0 聘任B1.0
  	class: 退还  	d: 6  	pt: 2.0  	diff:  吐出A1.0 退还B1.0
  	class: 降级  	d: 8  	pt: 2.0  	diff:  贬低A1.0 降级B1.0
  	class: 缝补  	d: 8  	pt: 2.0  	diff:  补补A1.0 缝缝补补B1.0
  	class: 生育  	d: 5  	pt: 2.0  	diff:  生儿育女A1.0 生养B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租借A1.0 租用B0.25 租赁B0.75
  	class: 拨款  	d: 2  	pt: 2.0  	diff:  拨款A1.0 拨付B1.0
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  挤出A0.7142857142857143 抽出A0.2857142857142857 腾出B1.0
  	class: 留学  	d: 3  	pt: 2.0  	diff:  镀金A1.0 留学B1.0
  	class: 背诵  	d: 3  	pt: 2.0  	diff:  背诵A1.0 背书B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  救治A1.0 救护B1.0
  	class: 寄居  	d: 8  	pt: 2.0  	diff:  流落A0.6666666666666666 寄居A0.3333333333333333 客居B1.0
  	class: 驱逐  	d: 6  	pt: 2.0  	diff:  驱赶A0.625 赶走A0.375 驱逐B1.0
  	class: 收养  	d: 2  	pt: 2.0  	diff:  收养A1.0 认领B1.0
  	class: 搭腔  	d: 5  	pt: 2.0  	diff:  搭讪A1.0 搭理B1.0
  	class: 露面  	d: 5  	pt: 2.0  	diff:  露面A1.0 露头B0.5 冒头B0.5
  	class: 求助  	d: 6  	pt: 2.0  	diff:  求助A0.8571428571428571 呼救A0.14285714285714285 求救B1.0
  	class: 征求  	d: 3  	pt: 2.0  	diff:  征得A1.0 征求B1.0
  	class: 面交  	d: 6  	pt: 2.0  	diff:  递给A1.0 递交B1.0
  	class: 接洽  	d: 6  	pt: 2.0  	diff:  洽A1.0 洽谈B1.0
  	class: 慰劳  	d: 8  	pt: 2.0  	diff:  抚慰A1.0 慰问B1.0
  	class: 献计  	d: 7  	pt: 2.0  	diff:  出谋划策A1.0 建言献策B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作怪A0.058823529411764705 作恶A0.5882352941176471 作祟A0.11764705882352941 点火A0.23529411764705882 惹事B0.3333333333333333 扰民B0.16666666666666666 闹事B0.16666666666666666 滋事B0.16666666666666666 肇事B0.16666666666666666
  	class: 恐吓  	d: 8  	pt: 2.0  	diff:  惊吓A1.0 恐吓B0.6 吓唬B0.4
  	class: 断交  	d: 3  	pt: 2.0  	diff:  绝交A1.0 断交B1.0
  	class: 小住  	d: 4  	pt: 2.0  	diff:  暂住A1.0 落脚B1.0
  	class: 做工  	d: 3  	pt: 2.0  	diff:  做工A1.0 干活儿B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混入A1.0 混进B1.0
  	class: 搜罗  	d: 4  	pt: 2.0  	diff:  收罗A1.0 网罗B1.0
  	class: 搜查  	d: 4  	pt: 2.0  	diff:  搜A1.0 查抄B1.0
  	class: 储存  	d: 8  	pt: 2.0  	diff:  储存A0.9375 积存A0.0625 收储B1.0
  	class: 晒  	d: 5  	pt: 2.0  	diff:  晒A0.75 晾晒A0.25 曝B1.0
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开篇A0.6 开业A0.2 开拔A0.2 开市B1.0
