learn:dsjwz.csv check:mm.csv 	 Result: 	0.28257326573158387 	4534 	1775
  	class: 谄媚  	d: 32  	pt: 1.8333333333333335  	diff:  捧A0.6 取悦AB0.11666666666666668 捧场A0.2 买好B0.16666666666666666 讨好B0.4583333333333333 拍马屁B0.2916666666666667
  	class: 填  	d: 11  	pt: 1.8333333333333333  	diff:  填写A0.5416666666666666 装满A0.08333333333333333 填充A0.25 回填A0.041666666666666664 填AB0.9166666666666666
  	class: 制止  	d: 10  	pt: 1.8333333333333333  	diff:  遏制A0.08333333333333333 限于A0.5833333333333334 抑制A0.25 挫B0.8333333333333334 制止B0.08333333333333333
  	class: 枯燥  	d: 16  	pt: 1.8333333333333333  	diff:  平淡AB0.25 枯燥A0.4166666666666667 乏味A0.08333333333333333 单调A0.4166666666666667 干燥B0.3333333333333333 没劲B0.3333333333333333
  	class: 强迫  	d: 13  	pt: 1.8333333333333333  	diff:  迫使A0.16666666666666666 勒A0.75 强迫AB0.9166666666666666
  	class: 节拍  	d: 6  	pt: 1.8235294117647058  	diff:  音频A0.7058823529411765 节奏AB0.9117647058823529 旋律A0.20588235294117646
  	class: 携带  	d: 11  	pt: 1.8181818181818181  	diff:  携AB0.40909090909090906 带入A0.5454545454545454 携带A0.36363636363636365 牵B0.5
  	class: 离别  	d: 12  	pt: 1.8076923076923075  	diff:  分离AB0.5262237762237761 分开AB0.3776223776223776 分手B0.9038461538461539
  	class: 驻地  	d: 7  	pt: 1.8000000000000003  	diff:  基地A0.8 大本营AB0.9 营地A0.1
  	class: 空闲  	d: 15  	pt: 1.8  	diff:  闲AB0.4 空余A0.5 没事B0.9
