learn:gkw.csv check:ktx.csv 	 Result: 	0.22473286489119315 	8481 	3091
  	class: 激动  	d: 11  	pt: 2.0  	diff:  激动人心A1.0 百感交集B1.0
  	class: 看破  	d: 4  	pt: 2.0  	diff:  透视A1.0 看透B0.5 看破B0.5
  	class: 禁不起  	d: 7  	pt: 2.0  	diff:  禁不住A1.0 架不住B1.0
  	class: 推翻  	d: 5  	pt: 2.0  	diff:  推倒A1.0 击倒B1.0
  	class: 让座  	d: 2  	pt: 2.0  	diff:  让位A1.0 让座B1.0
  	class: 夺取  	d: 3  	pt: 2.0  	diff:  夺取A1.0 夺得B0.8 夺B0.2
  	class: 进攻  	d: 6  	pt: 2.0  	diff:  进攻A1.0 出击B1.0
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻扎A0.3333333333333333 驻守A0.16666666666666666 屯A0.5 驻B0.5 进驻B0.5
  	class: 解雇  	d: 5  	pt: 2.0  	diff:  辞掉A0.5 解雇A0.5 辞退B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  就职A1.0 新任B0.2 下车B0.8
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租借A1.0 租用B1.0
  	class: 赔偿  	d: 4  	pt: 2.0  	diff:  赔付A1.0 赔偿B1.0
  	class: 练出  	d: 2  	pt: 2.0  	diff:  练出A1.0 练就B1.0
  	class: 背诵  	d: 3  	pt: 2.0  	diff:  背诵A1.0 背书B1.0
  	class: 合著  	d: 3  	pt: 2.0  	diff:  合著A1.0 合写B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  救治A1.0 急救B1.0
  	class: 招待  	d: 3  	pt: 2.0  	diff:  接待A1.0 招待B1.0
  	class: 骗人  	d: 2  	pt: 2.0  	diff:  坑人A1.0 骗人B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混入A1.0 混迹B1.0
  	class: 烘  	d: 5  	pt: 2.0  	diff:  烘焙A0.9090909090909091 烙A0.09090909090909091 烘B1.0
  	class: 做饭  	d: 4  	pt: 2.0  	diff:  做饭A1.0 下厨B1.0
  	class: 设宴  	d: 6  	pt: 2.0  	diff:  宴请A1.0 请客B1.0
  	class: 挑衅  	d: 4  	pt: 2.0  	diff:  挑衅A1.0 找上门B1.0
  	class: 莅临  	d: 16  	pt: 2.0  	diff:  莅临A1.0 光顾B0.3333333333333333 降临B0.16666666666666666 亲临B0.16666666666666666 光临B0.3333333333333333
  	class: 烧香  	d: 2  	pt: 2.0  	diff:  焚香A1.0 烧香B1.0
  	class: 修行  	d: 4  	pt: 2.0  	diff:  尊神A1.0 修行B1.0
  	class: 下雨  	d: 7  	pt: 2.0  	diff:  降水A0.75 降雨A0.25 下雨B1.0
  	class: 解冻  	d: 4  	pt: 2.0  	diff:  化冻A0.2 解冻A0.8 开化B1.0
  	class: 质变  	d: 3  	pt: 2.0  	diff:  质变A0.3333333333333333 变质A0.6666666666666666 蜕变B1.0
  	class: 褪色  	d: 6  	pt: 2.0  	diff:  褪色A1.0 掉色B1.0
  	class: 升天  	d: 5  	pt: 2.0  	diff:  羽化A0.5 升天A0.5 物化B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  沉睡A1.0 酣睡B1.0
  	class: 收缩  	d: 4  	pt: 2.0  	diff:  收缩A1.0 缩B1.0
  	class: 遇刺  	d: 2  	pt: 2.0  	diff:  遇害A1.0 遇刺B1.0
  	class: 失踪  	d: 5  	pt: 2.0  	diff:  失踪A1.0 走失B1.0
  	class: 变味  	d: 2  	pt: 2.0  	diff:  霉变A1.0 变味B1.0
  	class: 激增  	d: 11  	pt: 2.0  	diff:  猛增A0.2222222222222222 激增A0.2222222222222222 新增A0.3333333333333333 剧增A0.1111111111111111 疯长A0.1111111111111111 陡增B1.0
  	class: 圣贤  	d: 17  	pt: 1.9999999999999998  	diff:  圣人A1.0 高人B0.3333333333333333 哲B0.3333333333333333 贤良B0.3333333333333333
  	class: 号  	d: 21  	pt: 1.9999999999999998  	diff:  号A1.0 喇叭B0.6666666666666666 哭喊B0.3333333333333333
  	class: 夹  	d: 4  	pt: 1.9999999999999998  	diff:  夹馅A1.0 裹挟B0.6666666666666666 夹子B0.3333333333333333
  	class: 动荡  	d: 26  	pt: 1.9999999999999998  	diff:  动荡A1.0 骚动B0.6666666666666666 荒乱B0.3333333333333333
  	class: 辞职  	d: 6  	pt: 1.9999999999999998  	diff:  辞去A1.0 辞职B0.6666666666666666 辞B0.3333333333333333
  	class: 总数  	d: 3  	pt: 1.9999999999999998  	diff:  总数A1.0 总和B0.6666666666666666 总额B0.3333333333333333
  	class: 看见  	d: 11  	pt: 1.9999999999999998  	diff:  望见A0.3333333333333333 瞧瞧A0.6666666666666666 瞥见B0.6666666666666666 眼见B0.3333333333333333
  	class: 摇摆  	d: 18  	pt: 1.9999999999999998  	diff:  晃动A0.5 晃A0.16666666666666666 摇曳A0.16666666666666666 摇动A0.16666666666666666 摇摆B0.6666666666666666 晃荡B0.3333333333333333
  	class: 剧变  	d: 7  	pt: 1.9753086419753085  	diff:  突变A0.9753086419753086 骤变AB0.9876543209876543 剧变A0.012345679012345678
  	class: 高空  	d: 11  	pt: 1.9411764705882353  	diff:  太空A0.9705882352941176 高空AB0.9705882352941176
  	class: 乱糟糟  	d: 10  	pt: 1.9375  	diff:  失调A0.96875 打乱AB0.96875
  	class: 拆  	d: 8  	pt: 1.9333333333333333  	diff:  拆散AB0.13333333333333333 拆解A0.3 拆除A0.6666666666666666 拆开B0.6666666666666666 拆迁B0.16666666666666666
  	class: 下药  	d: 7  	pt: 1.9230769230769231  	diff:  用药A0.9615384615384616 毒AB0.9615384615384616
  	class: 摊  	d: 13  	pt: 1.888888888888889  	diff:  摊位A0.7222222222222222 货摊A0.05555555555555555 小摊AB0.9444444444444444 汪A0.16666666666666666
  	class: 肠  	d: 4  	pt: 1.8857142857142857  	diff:  肠AB0.44285714285714284 肠道A0.9428571428571428 肠子B0.5
  	class: 合同  	d: 2  	pt: 1.8823529411764706  	diff:  合同A0.9411764705882353 合约AB0.9411764705882353
  	class: 光滑  	d: 12  	pt: 1.875  	diff:  光滑A0.625 溜滑A0.0625 滑腻A0.1875 油亮A0.0625 滑润AB0.9375
  	class: 就医  	d: 4  	pt: 1.875  	diff:  就医A0.625 就诊A0.3125 看病AB0.9375
  	class: 螺  	d: 2  	pt: 1.8666666666666667  	diff:  螺蛳AB0.9333333333333333 螺A0.9333333333333333
  	class: 开端  	d: 10  	pt: 1.8666666666666667  	diff:  起始A0.2 胚胎A0.6666666666666666 开局A0.06666666666666667 前奏AB0.9333333333333333
  	class: 曲  	d: 10  	pt: 1.8666666666666667  	diff:  弯曲A0.8666666666666667 曲子AB0.9333333333333333 曲折A0.06666666666666667
  	class: 流水  	d: 5  	pt: 1.8571428571428572  	diff:  水流A0.9285714285714286 流水AB0.26190476190476186 清流B0.6666666666666666
  	class: 洗  	d: 15  	pt: 1.8518518518518516  	diff:  清洗A0.7037037037037037 漱口A0.037037037037037035 洗洗AB0.42592592592592593 洗涤A0.18518518518518517 保洁B0.25 澡B0.25
  	class: 推测  	d: 16  	pt: 1.8378378378378377  	diff:  推断A0.24324324324324326 推测A0.6216216216216216 推论A0.02702702702702703 测度A0.02702702702702703 想见AB0.11583011583011582 想来AB0.3745173745173745 揣测B0.42857142857142855
  	class: 集市  	d: 9  	pt: 1.8333333333333333  	diff:  市集A0.5833333333333334 街AB0.6666666666666666 场A0.3333333333333333 庙B0.25
  	class: 演变  	d: 4  	pt: 1.8285714285714285  	diff:  演变AB0.9142857142857143 演化A0.9142857142857143
  	class: 嫁  	d: 9  	pt: 1.8181818181818181  	diff:  嫁人AB0.9090909090909091 妻B0.09090909090909091 嫁B0.7272727272727273 出嫁B0.09090909090909091
  	class: 鲜艳  	d: 12  	pt: 1.8181818181818181  	diff:  鲜艳A0.6363636363636364 花哨A0.18181818181818182 妩媚A0.09090909090909091 明艳AB0.40909090909090906 美艳B0.5
  	class: 主持  	d: 7  	pt: 1.8  	diff:  掌管AB0.30000000000000004 主管A0.6 主持B0.9
  	class: 桃  	d: 2  	pt: 1.8  	diff:  桃A0.9 桃子AB0.9
  	class: 不变  	d: 13  	pt: 1.8  	diff:  静止A0.9 有序AB0.9
  	class: 清理  	d: 4  	pt: 1.8  	diff:  清理A0.9 理清AB0.9
  	class: 养殖  	d: 3  	pt: 1.8  	diff:  繁育A0.9 放养AB0.9
  	class: 类推  	d: 6  	pt: 1.8  	diff:  类比A0.9 类推AB0.9
  	class: 出血  	d: 7  	pt: 1.8  	diff:  出血A0.8 血崩A0.1 流血AB0.9
  	class: 减少  	d: 22  	pt: 1.7866666666666666  	diff:  减少AB0.7266666666666667 减掉A0.04 减去A0.02 减小A0.04 缩减A0.02666666666666667 压缩A0.04 抽AB0.6933333333333332 刨B0.2
  	class: 风潮  	d: 3  	pt: 1.7777777777777777  	diff:  浪潮AB0.8888888888888888 大潮B0.4444444444444444 风潮B0.4444444444444444
  	class: 用处  	d: 3  	pt: 1.7777777777777777  	diff:  用途A0.7222222222222222 用处A0.16666666666666666 用场AB0.8888888888888888
  	class: 上升  	d: 10  	pt: 1.7777777777777777  	diff:  升高A0.6666666666666666 升起A0.18518518518518517 蒸腾A0.037037037037037035 升AB0.8888888888888888
  	class: 泻  	d: 8  	pt: 1.7647058823529411  	diff:  腹泻A0.8823529411764706 拉肚子AB0.8823529411764706
