learn:gkw.csv check:mm.csv 	 Result: 	0.24131683703322554 	6319 	2290
  	class: 潇洒  	d: 11  	pt: 2.0  	diff:  潇洒A1.0 飘逸B1.0
  	class: 顺便  	d: 9  	pt: 2.0  	diff:  顺带A1.0 附带B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A0.6666666666666666 悲痛A0.3333333333333333 悲愤B1.0
  	class: 放肆  	d: 28  	pt: 2.0  	diff:  猖狂A0.3333333333333333 猖獗A0.6666666666666666 失态B0.25 嚣张B0.5 自作主张B0.25
  	class: 窥探  	d: 11  	pt: 2.0  	diff:  偷窥A0.2 窥探A0.8 偷看B1.0
  	class: 散步  	d: 7  	pt: 2.0  	diff:  转转A0.4 散步A0.4 溜达A0.2 遛B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  倾心A1.0 看上B1.0
  	class: 倔强  	d: 7  	pt: 2.0  	diff:  倔A1.0 倔强B1.0
  	class: 折  	d: 5  	pt: 2.0  	diff:  折中A1.0 掰开B1.0
  	class: 不甘  	d: 6  	pt: 2.0  	diff:  不甘A1.0 不愿B1.0
  	class: 解脱  	d: 8  	pt: 2.0  	diff:  解脱A0.11764705882352941 摆脱A0.7647058823529411 脱出A0.11764705882352941 开脱B1.0
  	class: 认真  	d: 11  	pt: 2.0  	diff:  较真A1.0 动真格B1.0
  	class: 坚持  	d: 5  	pt: 2.0  	diff:  坚称A1.0 咬牙B1.0
  	class: 轻率  	d: 22  	pt: 2.0  	diff:  不慎A1.0 冒昧B1.0
  	class: 得罪  	d: 8  	pt: 2.0  	diff:  冒犯A1.0 得罪B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩服A1.0 佩B1.0
  	class: 吆喝  	d: 5  	pt: 2.0  	diff:  喝A1.0 吆喝B1.0
  	class: 消遣  	d: 8  	pt: 2.0  	diff:  解闷A1.0 消遣B1.0
  	class: 惊恐  	d: 16  	pt: 2.0  	diff:  惊恐A1.0 惶恐B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  榨取A0.2 压榨A0.2 压迫A0.4 敛财A0.2 搂B1.0
  	class: 承揽  	d: 10  	pt: 2.0  	diff:  承包A1.0 包揽B1.0
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  搁置A1.0 搁B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  松手A1.0 放手B1.0
  	class: 推卸  	d: 8  	pt: 2.0  	diff:  卸A1.0 推卸B1.0
  	class: 脱  	d: 4  	pt: 2.0  	diff:  松开A1.0 卸下B1.0
  	class: 拆  	d: 8  	pt: 2.0  	diff:  拆散A0.03333333333333333 拆解A0.3 拆除A0.6666666666666666 拆开B1.0
  	class: 切割  	d: 2  	pt: 2.0  	diff:  切割A1.0 割B1.0
  	class: 倒闭  	d: 6  	pt: 2.0  	diff:  关闭A0.9333333333333333 闭馆A0.06666666666666667 倒闭B1.0
  	class: 怂恿  	d: 14  	pt: 2.0  	diff:  煽动A0.5 扇动A0.5 怂B1.0
  	class: 招手  	d: 2  	pt: 2.0  	diff:  摆手A1.0 招手B1.0
  	class: 奔波  	d: 6  	pt: 2.0  	diff:  奔波A1.0 奔走B1.0
  	class: 蹂躏  	d: 8  	pt: 2.0  	diff:  鱼肉A0.2857142857142857 蹂躏A0.7142857142857143 践踏B1.0
  	class: 改过  	d: 25  	pt: 2.0  	diff:  悔过A0.5 洗心革面A0.5 回头B1.0
  	class: 皱眉  	d: 4  	pt: 2.0  	diff:  皱眉A1.0 皱眉头B1.0
  	class: 目睹  	d: 12  	pt: 2.0  	diff:  目击A0.8 目睹A0.2 观摩B1.0
  	class: 听  	d: 3  	pt: 2.0  	diff:  收听A0.7647058823529411 听听A0.23529411764705882 听取B1.0
  	class: 紧靠  	d: 7  	pt: 2.0  	diff:  附A1.0 紧贴B1.0
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  变色A1.0 翻脸B1.0
  	class: 实现  	d: 6  	pt: 2.0  	diff:  贯彻A0.75 兑现A0.25 落实B1.0
  	class: 醒悟  	d: 16  	pt: 2.0  	diff:  觉醒A0.8 顿悟A0.2 醒悟B0.5 觉悟B0.25 感悟B0.25
  	class: 报答  	d: 6  	pt: 2.0  	diff:  答A1.0 报答B1.0
  	class: 料到  	d: 4  	pt: 2.0  	diff:  料到A1.0 试想B1.0
  	class: 挂念  	d: 15  	pt: 2.0  	diff:  悬念A0.5 牵挂A0.5 挂念B1.0
  	class: 打听  	d: 12  	pt: 2.0  	diff:  询问A0.9 打听A0.05 问询A0.05 叩问B0.5 探听B0.5
  	class: 看破  	d: 4  	pt: 2.0  	diff:  透视A1.0 看穿B1.0
  	class: 信服  	d: 7  	pt: 2.0  	diff:  认A1.0 服气B1.0
  	class: 吝惜  	d: 6  	pt: 2.0  	diff:  吝惜A1.0 舍不得B1.0
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  侵占A0.5 抢占A0.5 侵吞B1.0
  	class: 撤销  	d: 10  	pt: 2.0  	diff:  取消A0.7142857142857143 撤销A0.14285714285714285 撤A0.14285714285714285 注销B1.0
  	class: 办理  	d: 2  	pt: 2.0  	diff:  操办A1.0 办理B1.0
  	class: 消磨  	d: 3  	pt: 2.0  	diff:  打发A1.0 消磨B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  就职A1.0 下车B1.0
  	class: 编织  	d: 2  	pt: 2.0  	diff:  编织A1.0 织B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租借A1.0 租下B1.0
  	class: 赔偿  	d: 4  	pt: 2.0  	diff:  赔付A1.0 赔偿B1.0
  	class: 卸妆  	d: 3  	pt: 2.0  	diff:  卸妆A1.0 下装B1.0
  	class: 留学  	d: 3  	pt: 2.0  	diff:  镀金A1.0 留学B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  救治A1.0 急救B1.0
  	class: 做伴  	d: 5  	pt: 2.0  	diff:  相伴A0.6666666666666666 为伴A0.3333333333333333 作伴B1.0
  	class: 招待  	d: 3  	pt: 2.0  	diff:  接待A1.0 招待B1.0
  	class: 说谎  	d: 9  	pt: 2.0  	diff:  瞎说A0.16666666666666666 胡诌A0.16666666666666666 说谎A0.6666666666666666 撒谎B1.0
  	class: 顶嘴  	d: 4  	pt: 2.0  	diff:  顶嘴A1.0 回嘴B1.0
  	class: 逞能  	d: 4  	pt: 2.0  	diff:  逞能A1.0 逞强B1.0
  	class: 骗人  	d: 2  	pt: 2.0  	diff:  坑人A1.0 骗人B1.0
  	class: 恐吓  	d: 8  	pt: 2.0  	diff:  惊吓A1.0 恐吓B1.0
  	class: 排挤  	d: 9  	pt: 2.0  	diff:  排挤A0.25 排斥A0.75 互斥B0.5 倾轧B0.5
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混入A1.0 混迹B1.0
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开篇A0.6 开业A0.2 开拔A0.2 开饭B1.0
  	class: 挑衅  	d: 4  	pt: 2.0  	diff:  挑衅A1.0 找上门B1.0
  	class: 莅临  	d: 16  	pt: 2.0  	diff:  莅临A1.0 光顾B1.0
  	class: 杀死  	d: 5  	pt: 2.0  	diff:  杀死A1.0 干掉B1.0
  	class: 下雨  	d: 7  	pt: 2.0  	diff:  降水A0.75 降雨A0.25 下雨B1.0
  	class: 融化  	d: 10  	pt: 2.0  	diff:  溶入A1.0 溶溶B1.0
