learn:ktx.csv check:mm.csv 	 Result: 	0.2287822316668106 	5626 	2222
  	class: 折  	d: 5  	pt: 1.6666666666666667  	diff:  掰开AB0.8333333333333334 拗A0.5 折中A0.3333333333333333
  	class: 回眸  	d: 3  	pt: 1.6666666666666667  	diff:  反观AB0.8333333333333334 回眸A0.5 回望A0.3333333333333333
  	class: 大叫  	d: 11  	pt: 1.6666666666666667  	diff:  惊呼AB0.8333333333333334 大叫A0.3333333333333333 大喊A0.5
  	class: 信服  	d: 7  	pt: 1.6666666666666667  	diff:  认A0.8333333333333334 服气AB0.8333333333333334
  	class: 舍得  	d: 4  	pt: 1.6666666666666667  	diff:  舍得AB0.8333333333333334 不惜A0.8333333333333334
  	class: 养分  	d: 4  	pt: 1.6666666666666665  	diff:  营养AB0.8333333333333334 养分A0.16666666666666666 滋养A0.6666666666666666
  	class: 直率  	d: 14  	pt: 1.6666666666666665  	diff:  露骨A0.16666666666666666 直率A0.5 直爽A0.16666666666666666 脆AB0.8333333333333334
  	class: 阻塞  	d: 25  	pt: 1.6551724137931036  	diff:  梗A0.6551724137931034 打断AB0.6620689655172414 隔阂AB0.16551724137931034 不通A0.10344827586206896 绿灯A0.034482758620689655 堵截A0.034482758620689655
  	class: 地方  	d: 5  	pt: 1.647058823529412  	diff:  地域A0.5294117647058824 地带AB0.8235294117647058 地区A0.23529411764705882 地段A0.058823529411764705
  	class: 携带  	d: 11  	pt: 1.6363636363636362  	diff:  带入A0.2727272727272727 带走A0.36363636363636365 携带A0.18181818181818182 牵AB0.3181818181818182 携B0.5
  	class: 争论  	d: 9  	pt: 1.625  	diff:  争议A0.5625 争执AB0.15625 计较AB0.65625 争论A0.25
  	class: 皇帝  	d: 26  	pt: 1.6  	diff:  皇帝A0.2 国王A0.4 至尊A0.06666666666666667 王者AB0.5142857142857142 太岁A0.06666666666666667 王A0.06666666666666667 君B0.2857142857142857
  	class: 口吃  	d: 5  	pt: 1.6  	diff:  口吃A0.8 结巴AB0.8
  	class: 零碎  	d: 12  	pt: 1.6  	diff:  碎片AB0.2 心碎A0.6 碎B0.8
  	class: 刻板  	d: 19  	pt: 1.6  	diff:  板A0.3 刻板A0.4 呆板AB0.4 古板A0.1 死板AB0.4
  	class: 外地  	d: 6  	pt: 1.6  	diff:  异地AB0.8 外地A0.8
  	class: 挨次  	d: 20  	pt: 1.6  	diff:  逐AB0.8 顺序A0.8
  	class: 无心  	d: 9  	pt: 1.6  	diff:  误A0.6857142857142857 无意A0.05714285714285714 无心AB0.2476190476190476 潜意识A0.05714285714285714 下意识AB0.5523809523809523
  	class: 读本  	d: 6  	pt: 1.6  	diff:  课本A0.6 教科书A0.2 教材AB0.8
  	class: 浴室  	d: 5  	pt: 1.6  	diff:  浴室AB0.7 澡堂A0.1 浴池B0.8
  	class: 分散  	d: 9  	pt: 1.6  	diff:  散落A0.2 疏散A0.2 发散A0.4 散开AB0.3 分散B0.5
  	class: 燃烧  	d: 6  	pt: 1.6  	diff:  燃烧AB0.8 燃B0.8
  	class: 潇洒  	d: 11  	pt: 1.6  	diff:  侠气A0.4 飘逸AB0.8 潇洒A0.4
