learn:xkd.csv check:xsx.csv 	 Result: 	0.27491142597051604 	6233 	2288
  	class: 松手  	d: 4  	pt: 2.0  	diff:  松手A0.5 失手A0.5 放手B1.0
  	class: 佩带  	d: 6  	pt: 2.0  	diff:  身着A0.6666666666666666 佩戴A0.3333333333333333 着装B1.0
  	class: 推卸  	d: 8  	pt: 2.0  	diff:  推诿A0.8 踢皮球A0.06666666666666667 推卸A0.13333333333333333 卸B0.3333333333333333 推脱B0.6666666666666666
  	class: 揭穿  	d: 8  	pt: 2.0  	diff:  说穿A1.0 拆穿B0.25 揭穿B0.25 捅B0.5
  	class: 摇摆  	d: 18  	pt: 2.0  	diff:  摇曳A0.3333333333333333 摇摆A0.6666666666666666 晃动B0.5 晃荡B0.5
  	class: 访问  	d: 10  	pt: 2.0  	diff:  访问A0.8367346938775511 走访A0.04081632653061224 访A0.10204081632653061 拜会A0.02040816326530612 拜访B1.0
  	class: 观望  	d: 10  	pt: 2.0  	diff:  坐视A0.5 旁观A0.5 观望B1.0
  	class: 浏览  	d: 4  	pt: 2.0  	diff:  参观A1.0 浏览B1.0
  	class: 大叫  	d: 11  	pt: 2.0  	diff:  大叫A0.25 高呼A0.75 大喊B1.0
  	class: 轰  	d: 6  	pt: 2.0  	diff:  轰鸣A1.0 吼B1.0
  	class: 回礼  	d: 3  	pt: 2.0  	diff:  回赠A1.0 回礼B1.0
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  变脸A1.0 变色B1.0
  	class: 泄恨  	d: 6  	pt: 2.0  	diff:  泄愤A1.0 迁怒B1.0
  	class: 抱歉  	d: 10  	pt: 2.0  	diff:  抱歉A1.0 愧疚B1.0
  	class: 醒悟  	d: 16  	pt: 2.0  	diff:  觉醒A1.0 醒悟B1.0
  	class: 推理  	d: 5  	pt: 2.0  	diff:  推导A1.0 推理B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  景仰A1.0 心仪B1.0
  	class: 不服  	d: 2  	pt: 2.0  	diff:  不服A1.0 要强B1.0
  	class: 忍耐  	d: 10  	pt: 2.0  	diff:  容忍A1.0 耐B0.2857142857142857 忍耐B0.7142857142857143
  	class: 吝惜  	d: 6  	pt: 2.0  	diff:  吝惜A1.0 舍不得B1.0
  	class: 呼应  	d: 11  	pt: 2.0  	diff:  呼应A1.0 照应B1.0
  	class: 不值  	d: 5  	pt: 2.0  	diff:  不值A0.5 不犯A0.5 不屑B1.0
  	class: 斗争  	d: 14  	pt: 2.0  	diff:  争夺A1.0 抗暴B1.0
  	class: 开战  	d: 5  	pt: 2.0  	diff:  宣战A1.0 开火B1.0
  	class: 并吞  	d: 7  	pt: 2.0  	diff:  兼并A1.0 吞噬B1.0
  	class: 击败  	d: 7  	pt: 2.0  	diff:  击败A0.4 重创A0.6 击溃B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤离A1.0 开走B1.0
  	class: 经办  	d: 4  	pt: 2.0  	diff:  承办A1.0 经手B1.0
  	class: 立户  	d: 6  	pt: 2.0  	diff:  立业A1.0 置业B1.0
  	class: 首创  	d: 3  	pt: 2.0  	diff:  首创A1.0 创始B1.0
  	class: 吹嘘  	d: 4  	pt: 2.0  	diff:  鼓吹A1.0 吹嘘B1.0
  	class: 辨别  	d: 13  	pt: 2.0  	diff:  辨识A0.5 鉴别A0.5 识别B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  上任A0.16666666666666666 就任A0.12121212121212122 到任A0.045454545454545456 新任A0.6363636363636364 就职A0.030303030303030304 下车B1.0
  	class: 接替  	d: 6  	pt: 2.0  	diff:  接手A0.6 接任A0.2 继任A0.2 接替B1.0
  	class: 提纯  	d: 5  	pt: 2.0  	diff:  提炼A0.75 纯化A0.25 提纯B1.0
  	class: 贿赂  	d: 11  	pt: 2.0  	diff:  贿赂A0.2 行贿A0.2 收买A0.4 贿选A0.2 打点B1.0
  	class: 卖掉  	d: 3  	pt: 2.0  	diff:  卖出A0.75 卖掉A0.25 售出B1.0
  	class: 讨债  	d: 7  	pt: 2.0  	diff:  追回A1.0 讨债B1.0
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  腾出A1.0 挤出B1.0
  	class: 制图  	d: 5  	pt: 2.0  	diff:  制图A1.0 绘制B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  救护A1.0 急诊B1.0
  	class: 寄居  	d: 8  	pt: 2.0  	diff:  客居A1.0 寄居B1.0
  	class: 收养  	d: 2  	pt: 2.0  	diff:  认领A1.0 收养B1.0
  	class: 过场  	d: 3  	pt: 2.0  	diff:  走过场A1.0 过场B1.0
  	class: 搭腔  	d: 5  	pt: 2.0  	diff:  搭理A1.0 搭讪B1.0
  	class: 恳谈  	d: 7  	pt: 2.0  	diff:  谈心A1.0 交心B1.0
  	class: 面交  	d: 6  	pt: 2.0  	diff:  递交A1.0 递给B0.7142857142857143 递B0.2857142857142857
  	class: 救火  	d: 4  	pt: 2.0  	diff:  灭火A1.0 扑火B1.0
  	class: 耍花招  	d: 13  	pt: 2.0  	diff:  使坏A0.3333333333333333 钻空子A0.6666666666666666 投机取巧B1.0
  	class: 勾结  	d: 12  	pt: 2.0  	diff:  勾结A0.5 勾连A0.5 勾搭B1.0
  	class: 结伙  	d: 5  	pt: 2.0  	diff:  拉帮结派A1.0 为伍B1.0
  	class: 流逝  	d: 5  	pt: 2.0  	diff:  流逝A1.0 蹉跎B1.0
  	class: 流浪  	d: 15  	pt: 2.0  	diff:  流转A1.0 漂泊B0.42857142857142855 流浪B0.5714285714285714
  	class: 谋事  	d: 6  	pt: 2.0  	diff:  找事A1.0 求职B1.0
  	class: 祭奠  	d: 3  	pt: 2.0  	diff:  祭A1.0 祭奠B1.0
  	class: 搜查  	d: 4  	pt: 2.0  	diff:  查抄A1.0 搜B1.0
  	class: 晒  	d: 5  	pt: 2.0  	diff:  曝A1.0 晒B0.9230769230769231 晾晒B0.07692307692307693
  	class: 扫墓  	d: 3  	pt: 2.0  	diff:  扫墓A1.0 上坟B1.0
  	class: 挑衅  	d: 4  	pt: 2.0  	diff:  挑衅A1.0 找上门B1.0
  	class: 颠倒  	d: 10  	pt: 2.0  	diff:  舍本逐末A1.0 颠倒B1.0
  	class: 泄漏  	d: 8  	pt: 2.0  	diff:  透漏A1.0 泄露B1.0
  	class: 下雪  	d: 3  	pt: 2.0  	diff:  降雪A1.0 下雪B1.0
  	class: 光照  	d: 3  	pt: 2.0  	diff:  光照A1.0 日照B1.0
  	class: 繁殖  	d: 8  	pt: 2.0  	diff:  繁衍A1.0 繁殖B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  沉睡A1.0 熟睡B1.0
  	class: 昏迷  	d: 8  	pt: 2.0  	diff:  昏迷A1.0 昏倒B0.5 晕倒B0.5
  	class: 伸长  	d: 2  	pt: 2.0  	diff:  伸长A1.0 伸B1.0
  	class: 遇救  	d: 3  	pt: 2.0  	diff:  获救A1.0 得救B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  扣除A1.0 减半B1.0
  	class: 显见  	d: 5  	pt: 2.0  	diff:  足见A1.0 看得出B1.0
  	class: 共存  	d: 13  	pt: 2.0  	diff:  共存A1.0 并存B1.0
  	class: 再现  	d: 4  	pt: 2.0  	diff:  再现A0.6666666666666666 复出A0.3333333333333333 复发B0.5 重现B0.5
  	class: 难保  	d: 4  	pt: 2.0  	diff:  难保A1.0 没准B1.0
