learn:dsjwz.csv check:ktx.csv 	 Result: 	0.2527324815052981 	6328 	2287
  	class: 推测  	d: 16  	pt: 1.9615384615384612  	diff:  推断A0.5769230769230769 推测A0.19230769230769232 想来AB0.40934065934065933 推论A0.21153846153846154 揣测B0.42857142857142855 想见B0.14285714285714285
  	class: 记  	d: 5  	pt: 1.956989247311828  	diff:  笔记A0.956989247311828 记AB0.978494623655914 速记A0.021505376344086023
  	class: 合并  	d: 24  	pt: 1.951219512195122  	diff:  并入A0.024390243902439025 合并A0.36585365853658536 集成A0.5365853658536586 联结A0.024390243902439025 联A0.024390243902439025 拼AB0.8922764227642276 一统B0.08333333333333333
  	class: 意旨  	d: 4  	pt: 1.9444444444444444  	diff:  旨在A0.9722222222222222 心意AB0.9722222222222222
  	class: 制图  	d: 5  	pt: 1.9375  	diff:  绘制A0.84375 打样A0.03125 绘图A0.09375 制图AB0.96875
  	class: 梦幻  	d: 9  	pt: 1.916666666666667  	diff:  梦见AB0.9583333333333334 梦B0.875 梦境B0.041666666666666664 梦幻B0.041666666666666664
  	class: 档案  	d: 2  	pt: 1.8947368421052633  	diff:  档AB0.9473684210526316 档案A0.9473684210526315
  	class: 疲倦  	d: 32  	pt: 1.894736842105263  	diff:  疲劳AB0.9473684210526316 困B0.2631578947368421 嗜睡B0.05263157894736842 懒B0.42105263157894735 累死B0.05263157894736842 疲惫B0.10526315789473684 疲态B0.05263157894736842
  	class: 特辑  	d: 6  	pt: 1.8823529411764706  	diff:  专栏A0.9411764705882353 专辑AB0.6911764705882353 特辑B0.25
  	class: 兄弟  	d: 9  	pt: 1.8666666666666667  	diff:  哥们AB0.9333333333333333 哥们儿B0.5333333333333333 兄弟B0.3333333333333333 哥俩B0.06666666666666667
  	class: 雕刻  	d: 18  	pt: 1.8666666666666665  	diff:  雕刻AB0.9333333333333333 抠B0.3333333333333333 雕琢B0.13333333333333333 雕B0.06666666666666667 琢磨B0.26666666666666666 雕像B0.06666666666666667 刻B0.06666666666666667
  	class: 减少  	d: 22  	pt: 1.8666666666666665  	diff:  减少AB0.5133333333333333 压缩A0.34 减小A0.03 削减A0.04 缩减A0.01 抽B0.7333333333333333 刨B0.2
  	class: 饭店  	d: 10  	pt: 1.8571428571428572  	diff:  馆子A0.5 餐馆AB0.4285714285714286 饭店B0.14285714285714285 食堂B0.6428571428571429 饭馆B0.14285714285714285
  	class: 跟随  	d: 7  	pt: 1.8461538461538463  	diff:  跟随A0.9230769230769231 追随AB0.9230769230769231
  	class: 简短  	d: 10  	pt: 1.8461538461538463  	diff:  简洁A0.9230769230769231 精简AB0.9230769230769231
  	class: 优越  	d: 12  	pt: 1.8461538461538463  	diff:  优于A0.9230769230769231 优越AB0.12307692307692308 优渥B0.2 优胜B0.6
  	class: 激增  	d: 11  	pt: 1.846153846153846  	diff:  新增A0.8461538461538461 陡增AB0.9230769230769231 激增A0.07692307692307693
  	class: 堆  	d: 7  	pt: 1.8181818181818183  	diff:  码A0.8181818181818182 摞A0.09090909090909091 坨AB0.9090909090909091
  	class: 缩水  	d: 6  	pt: 1.8181818181818183  	diff:  缩水A0.09090909090909091 缩短A0.8181818181818182 浓缩AB0.9090909090909091
  	class: 空闲  	d: 15  	pt: 1.8181818181818181  	diff:  闲AB0.40909090909090906 空余A0.5 空闲B0.09090909090909091 没事B0.7272727272727273 得空B0.09090909090909091
  	class: 便利  	d: 12  	pt: 1.8181818181818181  	diff:  省事AB0.5757575757575757 便捷A0.7272727272727273 简便A0.18181818181818182 省心B0.3333333333333333
  	class: 调和  	d: 4  	pt: 1.8181818181818181  	diff:  协调A0.9090909090909091 和谐AB0.9090909090909091
  	class: 推理  	d: 5  	pt: 1.8181818181818181  	diff:  推导A0.26 推理AB0.609090909090909 推演A0.04 演绎B0.9090909090909091
  	class: 劝告  	d: 19  	pt: 1.818181818181818  	diff:  告诫A0.3333333333333333 规A0.3333333333333333 劝说AB0.2424242424242424 劝导B0.09090909090909091 箴B0.09090909090909091 劝告B0.09090909090909091 劝诫B0.09090909090909091 劝B0.36363636363636365 奉劝B0.09090909090909091 忠告B0.09090909090909091
  	class: 谈天  	d: 23  	pt: 1.818181818181818  	diff:  聊聊AB0.9090909090909091 扯B0.7272727272727273 扯淡B0.09090909090909091 闲聊B0.09090909090909091
  	class: 可耻  	d: 20  	pt: 1.818181818181818  	diff:  难看AB0.9090909090909091 羞耻B0.7272727272727273 无耻B0.09090909090909091 可耻B0.09090909090909091
  	class: 勤奋  	d: 26  	pt: 1.8000000000000003  	diff:  勤奋AB0.9 身体力行B0.3 勤劳B0.3 勤快B0.1 精卫填海B0.1 勤恳B0.1
  	class: 倾听  	d: 7  	pt: 1.8  	diff:  聆A0.9 倾听AB0.9
  	class: 编录  	d: 5  	pt: 1.8  	diff:  摘录AB0.9 剪辑B0.9
  	class: 入行  	d: 2  	pt: 1.8  	diff:  入行AB0.9 出道B0.9
  	class: 聚齐  	d: 6  	pt: 1.7837837837837838  	diff:  汇总A0.8918918918918919 汇集AB0.8918918918918919
  	class: 药品  	d: 6  	pt: 1.7777777777777777  	diff:  药物A0.8888888888888888 药品AB0.0888888888888889 药B0.8
