learn:mm.csv check:xsx.csv 	 Result: 	0.23533789215156914 	4704 	2070
  	class: 推翻  	d: 5  	pt: 2.0  	diff:  推倒A1.0 打倒B0.6666666666666666 打翻B0.16666666666666666 击倒B0.16666666666666666
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  侵吞A1.0 侵占B1.0
  	class: 撤销  	d: 10  	pt: 2.0  	diff:  注销A1.0 收回B0.2 取消B0.2 撤B0.6
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤离A1.0 开走B1.0
  	class: 命名  	d: 5  	pt: 2.0  	diff:  取名A1.0 命名B1.0
  	class: 表扬  	d: 4  	pt: 2.0  	diff:  表彰A1.0 表扬B1.0
  	class: 提纯  	d: 5  	pt: 2.0  	diff:  提炼A1.0 提纯B1.0
  	class: 捏造  	d: 9  	pt: 2.0  	diff:  编A1.0 虚构B1.0
  	class: 航空  	d: 3  	pt: 2.0  	diff:  航空A1.0 飞行B1.0
  	class: 卸妆  	d: 3  	pt: 2.0  	diff:  下装A1.0 卸妆B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  急救A1.0 急诊B1.0
  	class: 恳谈  	d: 7  	pt: 2.0  	diff:  恳谈A1.0 交心B1.0
  	class: 轮流  	d: 8  	pt: 2.0  	diff:  轮流A1.0 交替B1.0
  	class: 责骂  	d: 7  	pt: 2.0  	diff:  骂街A1.0 叫骂B1.0
  	class: 顶嘴  	d: 4  	pt: 2.0  	diff:  回嘴A1.0 顶嘴B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作恶A1.0 闹事B0.5 生事B0.5
  	class: 恐吓  	d: 8  	pt: 2.0  	diff:  恐吓A1.0 吓唬B0.5 惊吓B0.5
  	class: 流逝  	d: 5  	pt: 2.0  	diff:  流逝A1.0 蹉跎B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混迹A1.0 混进B1.0
  	class: 祭奠  	d: 3  	pt: 2.0  	diff:  祭A1.0 祭奠B1.0
  	class: 游览  	d: 16  	pt: 2.0  	diff:  出境游A1.0 畅游B1.0
  	class: 莅临  	d: 16  	pt: 2.0  	diff:  光顾A1.0 光临B0.5 降临B0.5
  	class: 杀害  	d: 7  	pt: 2.0  	diff:  凶杀A1.0 杀害B1.0
  	class: 抽搐  	d: 8  	pt: 2.0  	diff:  抽搐A1.0 抽筋B1.0
  	class: 融化  	d: 10  	pt: 2.0  	diff:  溶溶A1.0 融B1.0
  	class: 争先  	d: 6  	pt: 2.0  	diff:  争相A1.0 抢先B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  吃苦A1.0 受苦B1.0
  	class: 沾光  	d: 4  	pt: 2.0  	diff:  讨巧A1.0 受益B1.0
  	class: 入选  	d: 7  	pt: 2.0  	diff:  选中A1.0 相中B1.0
  	class: 加剧  	d: 10  	pt: 2.0  	diff:  加重A1.0 加深B1.0
  	class: 人数  	d: 8  	pt: 1.9999999999999998  	diff:  口A1.0 人头B0.3333333333333333 人数B0.3333333333333333 食指B0.3333333333333333
  	class: 资料  	d: 5  	pt: 1.9999999999999998  	diff:  材A1.0 材料B0.2 资料B0.6 素材B0.2
  	class: 怯懦  	d: 21  	pt: 1.9999999999999998  	diff:  胆小A1.0 怯B0.3333333333333333 怯懦B0.3333333333333333 胆怯B0.3333333333333333
  	class: 倒霉  	d: 17  	pt: 1.9999999999999998  	diff:  不幸A1.0 丧气B0.6666666666666666 倒霉B0.3333333333333333
  	class: 排挤  	d: 9  	pt: 1.9999999999999998  	diff:  互斥A0.5 倾轧A0.5 排斥B0.6666666666666666 排挤B0.3333333333333333
  	class: 开花  	d: 12  	pt: 1.9999999999999998  	diff:  盛开A1.0 绽开B0.3333333333333333 绽放B0.3333333333333333 开花B0.3333333333333333
  	class: 就是  	d: 9  	pt: 1.9999999999999998  	diff:  身为A1.0 视为B0.6666666666666666 算得B0.3333333333333333
  	class: 共同  	d: 31  	pt: 1.9166666666666665  	diff:  合伙AB0.4583333333333333 协同A0.5 联合B0.7083333333333334 同台B0.125 手拉手B0.125
  	class: 背井离乡  	d: 7  	pt: 1.8888888888888888  	diff:  远离AB0.9444444444444444 离家B0.9444444444444444
  	class: 缺点  	d: 14  	pt: 1.8666666666666667  	diff:  缺点A0.8666666666666667 弱点AB0.43333333333333335 瑕疵A0.06666666666666667 缺陷B0.5
  	class: 猛烈  	d: 19  	pt: 1.8620689655172415  	diff:  剧A0.2413793103448276 火爆AB0.06551724137931035 腾腾A0.6896551724137931 激烈AB0.5655172413793104 热烈B0.2 猛烈B0.1
  	class: 书籍  	d: 8  	pt: 1.857142857142857  	diff:  本本AB0.9285714285714286 书本B0.21428571428571427 书籍B0.2857142857142857 图书B0.42857142857142855
