learn:ktx.csv check:xsx.csv 	 Result: 	0.22422808285257675 	6503 	2555
  	class: 贯通  	d: 8  	pt: 2.0  	diff:  精通A0.3333333333333333 相通A0.6666666666666666 谙B1.0
  	class: 过激  	d: 2  	pt: 2.0  	diff:  过激A1.0 偏激B1.0
  	class: 急切  	d: 12  	pt: 2.0  	diff:  急切A1.0 迫切B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  悲壮A1.0 悲愤B1.0
  	class: 调解  	d: 13  	pt: 2.0  	diff:  劝和A0.5 圆场A0.5 疏通B1.0
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  草率A1.0 潦草B0.5 草草B0.5
  	class: 应该  	d: 13  	pt: 2.0  	diff:  应有A1.0 活该B1.0
  	class: 直言  	d: 8  	pt: 2.0  	diff:  直言A1.0 直说B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  倾心A1.0 看上B1.0
  	class: 温顺  	d: 13  	pt: 2.0  	diff:  一团和气A1.0 乖B1.0
  	class: 降伏  	d: 5  	pt: 2.0  	diff:  折服A1.0 驯B1.0
  	class: 不甘  	d: 6  	pt: 2.0  	diff:  不愿A1.0 不甘B1.0
  	class: 做作  	d: 20  	pt: 2.0  	diff:  装腔作势A0.5 装腔A0.5 做作B1.0
  	class: 有为  	d: 20  	pt: 2.0  	diff:  前程似锦A1.0 前程锦绣B1.0
  	class: 赋闲  	d: 15  	pt: 2.0  	diff:  休闲A1.0 闲散B1.0
  	class: 偏心  	d: 12  	pt: 2.0  	diff:  不公A1.0 偏心B1.0
  	class: 吵闹  	d: 9  	pt: 2.0  	diff:  嚷A0.3333333333333333 哭闹A0.6666666666666666 起哄B1.0
  	class: 摸  	d: 3  	pt: 2.0  	diff:  摸出A1.0 摸摸B1.0
  	class: 刳  	d: 4  	pt: 2.0  	diff:  挖出A1.0 掏空B1.0
  	class: 搅拌  	d: 4  	pt: 2.0  	diff:  搅拌A0.5 搅动A0.5 拌B1.0
  	class: 招手  	d: 2  	pt: 2.0  	diff:  摆手A1.0 招手B1.0
  	class: 慢走  	d: 9  	pt: 2.0  	diff:  后会有期A1.0 慢走B1.0
  	class: 观望  	d: 10  	pt: 2.0  	diff:  旁观A1.0 观望B1.0
  	class: 鸟瞰  	d: 3  	pt: 2.0  	diff:  俯视A1.0 俯瞰B1.0
  	class: 趴  	d: 3  	pt: 2.0  	diff:  趴A1.0 趴下B1.0
  	class: 泄恨  	d: 6  	pt: 2.0  	diff:  撒气A1.0 迁怒B1.0
  	class: 实现  	d: 6  	pt: 2.0  	diff:  贯彻A1.0 兑现B0.75 落实B0.25
  	class: 无法  	d: 23  	pt: 2.0  	diff:  没辙A1.0 回天乏术B1.0
  	class: 上瘾  	d: 4  	pt: 2.0  	diff:  成瘾A1.0 上瘾B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  仰慕A1.0 心仪B1.0
  	class: 怀恨  	d: 4  	pt: 2.0  	diff:  记仇A1.0 记恨B1.0
  	class: 呼应  	d: 11  	pt: 2.0  	diff:  呼应A0.3333333333333333 对号入座A0.6666666666666666 照应B1.0
  	class: 斗争  	d: 14  	pt: 2.0  	diff:  争夺A1.0 抗暴B1.0
  	class: 起跑  	d: 10  	pt: 2.0  	diff:  开拍A1.0 开盘B0.1111111111111111 开课B0.7777777777777778 开战B0.1111111111111111
  	class: 进攻  	d: 6  	pt: 2.0  	diff:  出击A1.0 进攻B0.8571428571428571 进击B0.14285714285714285
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵占B1.0
  	class: 击败  	d: 7  	pt: 2.0  	diff:  击败A0.6666666666666666 粉碎A0.3333333333333333 击溃B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  离去A1.0 开走B1.0
