learn:jqzx.csv check:xkd.csv 	 Result: 	0.2487583258994408 	6133 	2237
  	class: 祷告  	d: 7  	pt: 2.0  	diff:  弥散A1.0 祈祷B1.0
  	class: 信服  	d: 7  	pt: 2.0  	diff:  信服A1.0 认B0.5 服气B0.5
  	class: 不服  	d: 2  	pt: 2.0  	diff:  要强A1.0 不服B1.0
  	class: 开战  	d: 5  	pt: 2.0  	diff:  开火A0.3333333333333333 用武A0.6666666666666666 宣战B1.0
  	class: 保卫  	d: 5  	pt: 2.0  	diff:  卫A1.0 捍卫B0.75 保卫B0.25
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵占B0.6 强占B0.1 侵吞B0.3
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 撤离B1.0
  	class: 招认  	d: 5  	pt: 2.0  	diff:  交待A1.0 认罪B1.0
  	class: 检查  	d: 16  	pt: 2.0  	diff:  检视A0.75 验A0.25 查验B0.125 查实B0.5 稽察B0.125 视察B0.125 查查B0.125
  	class: 聘请  	d: 7  	pt: 2.0  	diff:  聘用A0.7 聘请A0.3 聘任B1.0
  	class: 缝补  	d: 8  	pt: 2.0  	diff:  修补A1.0 缝缝补补B1.0
  	class: 捏造  	d: 9  	pt: 2.0  	diff:  编A1.0 虚构B0.8333333333333334 编造B0.16666666666666666
  	class: 讨债  	d: 7  	pt: 2.0  	diff:  讨债A1.0 追回B1.0
  	class: 传导  	d: 4  	pt: 2.0  	diff:  导A1.0 传导B1.0
  	class: 谱曲  	d: 3  	pt: 2.0  	diff:  谱曲A1.0 谱写B1.0
  	class: 就医  	d: 4  	pt: 2.0  	diff:  就医A1.0 看病B1.0
  	class: 求助  	d: 6  	pt: 2.0  	diff:  告急A0.5 求助A0.5 求救B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作恶A1.0 惹事B0.3333333333333333 扰民B0.16666666666666666 闹事B0.16666666666666666 滋事B0.16666666666666666 肇事B0.16666666666666666
  	class: 办成  	d: 2  	pt: 2.0  	diff:  办到A1.0 办成B1.0
  	class: 谋事  	d: 6  	pt: 2.0  	diff:  求职A1.0 找事B1.0
  	class: 搜查  	d: 4  	pt: 2.0  	diff:  搜A1.0 查抄B1.0
  	class: 储存  	d: 8  	pt: 2.0  	diff:  储存A1.0 收储B1.0
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开业A1.0 开市B1.0
  	class: 颠倒  	d: 10  	pt: 2.0  	diff:  颠倒A1.0 舍本逐末B1.0
  	class: 拿获  	d: 8  	pt: 2.0  	diff:  捕获A1.0 抓获B1.0
  	class: 复审  	d: 2  	pt: 2.0  	diff:  复审A1.0 再审B1.0
  	class: 剥夺  	d: 3  	pt: 2.0  	diff:  禁用A1.0 剥夺B1.0
  	class: 下雪  	d: 3  	pt: 2.0  	diff:  下雪A1.0 降雪B1.0
  	class: 质变  	d: 3  	pt: 2.0  	diff:  质变A1.0 蜕变B0.8181818181818182 变质B0.18181818181818182
  	class: 繁殖  	d: 8  	pt: 2.0  	diff:  繁殖A1.0 繁衍B1.0
  	class: 寄放  	d: 4  	pt: 2.0  	diff:  存放A1.0 寄存B1.0
  	class: 起飞  	d: 2  	pt: 2.0  	diff:  起飞A1.0 起航B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  减半A1.0 扣除B1.0
  	class: 跃升  	d: 2  	pt: 2.0  	diff:  跃升A1.0 跃居B1.0
  	class: 供求  	d: 2  	pt: 2.0  	diff:  供需A1.0 供求B1.0
  	class: 戒除  	d: 3  	pt: 2.0  	diff:  戒除A1.0 力戒B1.0
  	class: 审判员  	d: 11  	pt: 1.9999999999999998  	diff:  法官A1.0 执法者B0.6666666666666666 大法官B0.3333333333333333
  	class: 无能  	d: 13  	pt: 1.9999999999999998  	diff:  平庸A0.5 低能A0.5 无能B0.6666666666666666 经营不善B0.3333333333333333
  	class: 罪犯  	d: 9  	pt: 1.9999999999999998  	diff:  囚徒A1.0 犯人B0.6666666666666666 人犯B0.3333333333333333
  	class: 打扮  	d: 6  	pt: 1.9999999999999998  	diff:  化妆A1.0 装扮B0.6666666666666666 打扮B0.3333333333333333
  	class: 力气  	d: 4  	pt: 1.9999999999999998  	diff:  力气A1.0 马力B0.3333333333333333 巧劲B0.3333333333333333 气力B0.3333333333333333
  	class: 真诚  	d: 37  	pt: 1.9999999999999998  	diff:  实心A0.5 诚心A0.5 真诚B0.3076923076923077 诚挚B0.07692307692307693 诚恳B0.23076923076923078 衷心B0.15384615384615385 热切B0.15384615384615385 真挚B0.07692307692307693
  	class: 单方  	d: 4  	pt: 1.9999999999999998  	diff:  偏方A1.0 单方B0.6666666666666666 土方B0.3333333333333333
  	class: 取暖  	d: 4  	pt: 1.9999999999999998  	diff:  悟A1.0 取暖B0.2857142857142857 暖B0.5714285714285714 暖和B0.14285714285714285
  	class: 灰心  	d: 16  	pt: 1.9999999999999998  	diff:  沮丧A1.0 寒心B0.3333333333333333 气馁B0.3333333333333333 灰心B0.3333333333333333
