learn:gkw.csv check:xsx.csv 	 Result: 	0.23860275317622354 	7431 	2775
  	class: 凉  	d: 10  	pt: 2.0  	diff:  荫凉A1.0 清凉B1.0
  	class: 冷热  	d: 2  	pt: 2.0  	diff:  寒热A1.0 冷热B1.0
  	class: 凉爽  	d: 4  	pt: 2.0  	diff:  凉爽A1.0 爽B1.0
  	class: 朴素  	d: 7  	pt: 2.0  	diff:  简朴A0.5 质朴A0.5 清纯B1.0
  	class: 稳重  	d: 11  	pt: 2.0  	diff:  稳重A0.6666666666666666 凝重A0.3333333333333333 稳健B1.0
  	class: 真实  	d: 11  	pt: 2.0  	diff:  真实性A1.0 真格B1.0
  	class: 优越  	d: 12  	pt: 2.0  	diff:  优越A0.5 优于A0.5 优渥B1.0
  	class: 头等  	d: 11  	pt: 2.0  	diff:  顶级A0.9473684210526315 一流A0.05263157894736842 头号B1.0
  	class: 贯通  	d: 8  	pt: 2.0  	diff:  精通A0.5 相通A0.5 谙B1.0
  	class: 喧哗  	d: 24  	pt: 2.0  	diff:  嘈杂A0.75 喧闹A0.25 闹腾B1.0
  	class: 过激  	d: 2  	pt: 2.0  	diff:  过激A1.0 偏激B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A0.6666666666666666 悲痛A0.3333333333333333 悲愤B1.0
  	class: 紧张  	d: 15  	pt: 2.0  	diff:  白热化A1.0 逼人B1.0
  	class: 留恋  	d: 13  	pt: 2.0  	diff:  依恋A1.0 流连B0.2 恋家B0.2 留恋B0.6
  	class: 调解  	d: 13  	pt: 2.0  	diff:  调解A1.0 疏通B1.0
  	class: 尽量  	d: 19  	pt: 2.0  	diff:  玩命A1.0 死命B1.0
  	class: 窥探  	d: 11  	pt: 2.0  	diff:  偷窥A0.2 窥探A0.8 偷看B1.0
  	class: 应该  	d: 13  	pt: 2.0  	diff:  应有A1.0 活该B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  倾心A1.0 看上B1.0
  	class: 温顺  	d: 13  	pt: 2.0  	diff:  柔顺A0.5 随和A0.5 乖B1.0
  	class: 降伏  	d: 5  	pt: 2.0  	diff:  驯服A1.0 驯B1.0
  	class: 赋闲  	d: 15  	pt: 2.0  	diff:  休闲A0.8 闲适A0.2 闲散B1.0
  	class: 坚持  	d: 5  	pt: 2.0  	diff:  坚称A1.0 咬牙B1.0
  	class: 慎重  	d: 3  	pt: 2.0  	diff:  慎重A1.0 郑重B1.0
  	class: 漂  	d: 8  	pt: 2.0  	diff:  漂浮A0.14285714285714285 漂移A0.42857142857142855 悬浮A0.2857142857142857 上浮A0.14285714285714285 漂流B1.0
  	class: 谦虚  	d: 15  	pt: 2.0  	diff:  谦虚A0.5 谦和A0.5 客气B1.0
  	class: 扩大  	d: 8  	pt: 2.0  	diff:  扩展A0.5882352941176471 壮大A0.11764705882352941 扩张A0.23529411764705882 扩充A0.058823529411764705 恢弘B1.0
  	class: 偏心  	d: 12  	pt: 2.0  	diff:  不公A1.0 偏心B1.0
  	class: 贪心  	d: 21  	pt: 2.0  	diff:  贪婪A0.6666666666666666 贪欲A0.3333333333333333 贪心B0.5 贪求B0.5
  	class: 吵闹  	d: 9  	pt: 2.0  	diff:  叫嚣A0.25 嚷A0.5 吵闹A0.25 起哄B1.0
