learn:jqzx.csv check:mm.csv 	 Result: 	0.29404860406994177 	4538 	1732
  	class: 团结  	d: 27  	pt: 2.0  	diff:  互联A1.0 合力B1.0
  	class: 积极  	d: 10  	pt: 2.0  	diff:  积极性A1.0 能动B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  偏移A1.0 摇头B1.0
  	class: 坦率  	d: 13  	pt: 2.0  	diff:  坦率A1.0 坦诚B1.0
  	class: 折  	d: 5  	pt: 2.0  	diff:  折中A1.0 掰开B1.0
  	class: 解脱  	d: 8  	pt: 2.0  	diff:  摆脱A1.0 开脱B1.0
  	class: 坚持  	d: 5  	pt: 2.0  	diff:  坚称A1.0 咬牙B1.0
  	class: 轻率  	d: 22  	pt: 2.0  	diff:  鲁A0.8888888888888888 轻率A0.1111111111111111 冒昧B1.0
  	class: 得罪  	d: 8  	pt: 2.0  	diff:  触犯A1.0 得罪B1.0
  	class: 心安  	d: 7  	pt: 2.0  	diff:  欣慰A1.0 安心B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  钦佩A1.0 佩B1.0
  	class: 喊  	d: 13  	pt: 2.0  	diff:  叫唤A1.0 喊B1.0
  	class: 悼念  	d: 15  	pt: 2.0  	diff:  哀悼A1.0 挽B1.0
  	class: 惊恐  	d: 16  	pt: 2.0  	diff:  惊恐A1.0 惶恐B1.0
  	class: 拉  	d: 6  	pt: 2.0  	diff:  抻A1.0 拉长B1.0
  	class: 携带  	d: 11  	pt: 2.0  	diff:  携带A0.3333333333333333 带入A0.5 带走A0.16666666666666666 牵B0.5 携B0.5
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  刮A1.0 搂B1.0
  	class: 抱  	d: 3  	pt: 2.0  	diff:  拥抱A1.0 抱抱B1.0
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  闲置A0.6 搁置A0.4 搁B1.0
  	class: 洗  	d: 15  	pt: 2.0  	diff:  清洗A1.0 洗洗B0.25 保洁B0.625 澡B0.125
  	class: 切割  	d: 2  	pt: 2.0  	diff:  切割A1.0 割B1.0
  	class: 倒闭  	d: 6  	pt: 2.0  	diff:  关闭A1.0 倒闭B1.0
  	class: 迁移  	d: 8  	pt: 2.0  	diff:  迁移A0.9958333333333333 迁A0.004166666666666667 搬B1.0
  	class: 跨  	d: 7  	pt: 2.0  	diff:  迈出A0.4 横跨A0.4 横亘A0.2 跨过B1.0
  	class: 皱眉  	d: 4  	pt: 2.0  	diff:  皱眉A1.0 皱眉头B1.0
  	class: 目睹  	d: 12  	pt: 2.0  	diff:  目睹A0.6666666666666666 目击A0.3333333333333333 观摩B1.0
  	class: 听  	d: 3  	pt: 2.0  	diff:  听听A1.0 听取B1.0
  	class: 大叫  	d: 11  	pt: 2.0  	diff:  大喊A1.0 惊呼B1.0
  	class: 紧靠  	d: 7  	pt: 2.0  	diff:  附A0.95 促A0.05 紧贴B1.0
  	class: 趴  	d: 3  	pt: 2.0  	diff:  趴A1.0 趴下B1.0
  	class: 解放  	d: 2  	pt: 2.0  	diff:  解放A1.0 翻身B1.0
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  变色A1.0 翻脸B1.0
  	class: 争论  	d: 9  	pt: 2.0  	diff:  争议A0.6428571428571429 争论A0.35714285714285715 争执B0.25 计较B0.75
  	class: 沉迷  	d: 16  	pt: 2.0  	diff:  着迷A0.8333333333333334 痴迷A0.16666666666666666 沉迷B0.3333333333333333 迷恋B0.6666666666666666
  	class: 不能  	d: 9  	pt: 2.0  	diff:  未能A0.6666666666666666 无从A0.3333333333333333 得不到B1.0
  	class: 报答  	d: 6  	pt: 2.0  	diff:  答A1.0 报答B1.0
