learn:gkw.csv check:jqzx.csv 	 Result: 	0.21188166236051553 	6984 	2547
  	class: 酸  	d: 5  	pt: 2.0  	diff:  酸A1.0 酸度B1.0
  	class: 活像  	d: 8  	pt: 2.0  	diff:  酷似A1.0 俨然B1.0
  	class: 站稳  	d: 5  	pt: 2.0  	diff:  站立A1.0 站住B1.0
  	class: 过激  	d: 2  	pt: 2.0  	diff:  过激A1.0 偏激B1.0
  	class: 翻腾  	d: 6  	pt: 2.0  	diff:  沸腾A0.5 翻滚A0.5 翻腾B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A0.6666666666666666 悲痛A0.3333333333333333 悲壮B1.0
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  草草A1.0 草率B1.0
  	class: 积极  	d: 10  	pt: 2.0  	diff:  能动A1.0 积极性B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  摇A0.6666666666666666 摇头A0.3333333333333333 偏移B1.0
  	class: 坦率  	d: 13  	pt: 2.0  	diff:  坦诚A1.0 坦率B1.0
  	class: 轻率  	d: 22  	pt: 2.0  	diff:  不慎A1.0 鲁B0.8888888888888888 轻率B0.1111111111111111
  	class: 得罪  	d: 8  	pt: 2.0  	diff:  冒犯A1.0 触犯B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩服A1.0 钦佩B1.0
  	class: 怠慢  	d: 5  	pt: 2.0  	diff:  失敬A1.0 怠慢B1.0
  	class: 称霸  	d: 3  	pt: 2.0  	diff:  称霸A1.0 独霸B1.0
  	class: 适逢  	d: 6  	pt: 2.0  	diff:  正当A1.0 时值B0.25 适值B0.75
  	class: 喊  	d: 13  	pt: 2.0  	diff:  喊A0.75 叫喊A0.125 呐喊A0.125 叫唤B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  榨取A0.2 压榨A0.2 压迫A0.4 敛财A0.2 刮B1.0
  	class: 擦  	d: 13  	pt: 2.0  	diff:  擀A0.16666666666666666 擦拭A0.8333333333333334 抹掉B1.0
  	class: 把握  	d: 4  	pt: 2.0  	diff:  握住A1.0 把握B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  松手A1.0 放手B1.0
  	class: 修理  	d: 7  	pt: 2.0  	diff:  修缮A1.0 弥合B1.0
  	class: 翻  	d: 3  	pt: 2.0  	diff:  倒入A1.0 掀翻B1.0
  	class: 挥动  	d: 7  	pt: 2.0  	diff:  挥手A0.5 挥舞A0.5 挥动B1.0
  	class: 后退  	d: 8  	pt: 2.0  	diff:  退缩A1.0 退回B1.0
  	class: 改过  	d: 25  	pt: 2.0  	diff:  悔过A0.5 洗心革面A0.5 回头B1.0
  	class: 极目  	d: 9  	pt: 2.0  	diff:  放眼A1.0 纵览B0.2 一览B0.05 概览B0.75
  	class: 叫  	d: 5  	pt: 2.0  	diff:  鸣叫A1.0 噪B1.0
  	class: 请安  	d: 6  	pt: 2.0  	diff:  问好A0.25 问候A0.25 请安A0.25 致意A0.25 致敬B1.0
  	class: 料到  	d: 4  	pt: 2.0  	diff:  料到A1.0 试想B1.0
  	class: 祷告  	d: 7  	pt: 2.0  	diff:  祈祷A0.5 祈愿A0.5 弥散B1.0
  	class: 信服  	d: 7  	pt: 2.0  	diff:  认A1.0 信服B1.0
  	class: 呼应  	d: 11  	pt: 2.0  	diff:  对号入座A1.0 呼应B1.0
  	class: 保卫  	d: 5  	pt: 2.0  	diff:  捍卫A0.5 保卫A0.5 卫B1.0
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻扎A0.3333333333333333 驻守A0.16666666666666666 屯A0.5 驻B1.0
  	class: 撤兵  	d: 10  	pt: 2.0  	diff:  撤军A1.0 撤退B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  离去A0.6666666666666666 撤离A0.16666666666666666 走人A0.16666666666666666 撤出B1.0
  	class: 办理  	d: 2  	pt: 2.0  	diff:  操办A1.0 办理B1.0
  	class: 降级  	d: 8  	pt: 2.0  	diff:  贬低A1.0 降级B1.0
  	class: 缝补  	d: 8  	pt: 2.0  	diff:  补补A1.0 修补B1.0
  	class: 贿赂  	d: 11  	pt: 2.0  	diff:  行贿A0.4 收买A0.4 贿赂A0.2 打点B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租借A1.0 租用B1.0
  	class: 借债  	d: 9  	pt: 2.0  	diff:  借贷A1.0 借款B1.0
  	class: 赔偿  	d: 4  	pt: 2.0  	diff:  赔付A1.0 赔偿B1.0
  	class: 理赔  	d: 2  	pt: 2.0  	diff:  索赔A1.0 理赔B1.0
  	class: 搭乘  	d: 2  	pt: 2.0  	diff:  搭乘A1.0 代步B1.0
  	class: 滚动  	d: 6  	pt: 2.0  	diff:  滚A1.0 滚动B1.0
  	class: 留学  	d: 3  	pt: 2.0  	diff:  镀金A1.0 留学B1.0
  	class: 背诵  	d: 3  	pt: 2.0  	diff:  背诵A1.0 背书B1.0
  	class: 失约  	d: 5  	pt: 2.0  	diff:  爽约A1.0 违约B1.0
  	class: 驱逐  	d: 6  	pt: 2.0  	diff:  驱赶A0.625 赶走A0.375 驱逐B1.0
  	class: 瞎说  	d: 16  	pt: 2.0  	diff:  放屁A1.0 胡扯B1.0
  	class: 逞能  	d: 4  	pt: 2.0  	diff:  逞能A1.0 逞强B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混入A1.0 混进B1.0
  	class: 搜罗  	d: 4  	pt: 2.0  	diff:  收罗A1.0 网罗B1.0
  	class: 换算  	d: 2  	pt: 2.0  	diff:  折算A1.0 换算B1.0
  	class: 理发  	d: 4  	pt: 2.0  	diff:  整容A1.0 剃头B1.0
  	class: 晒  	d: 5  	pt: 2.0  	diff:  晒A0.75 晾晒A0.25 曝B1.0
  	class: 剥夺  	d: 3  	pt: 2.0  	diff:  剥夺A1.0 禁用B1.0
  	class: 赌博  	d: 4  	pt: 2.0  	diff:  赌博A1.0 赌B1.0
  	class: 瞎  	d: 4  	pt: 2.0  	diff:  失明A1.0 盲B1.0
  	class: 命中  	d: 8  	pt: 2.0  	diff:  猜中A0.5 击中A0.5 命中B1.0
  	class: 腾空  	d: 7  	pt: 2.0  	diff:  飙升A0.5 攀升A0.5 抬高B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  受苦A0.6666666666666666 遭罪A0.3333333333333333 受罪B1.0
  	class: 变味  	d: 2  	pt: 2.0  	diff:  霉变A1.0 变味B1.0
  	class: 头领  	d: 15  	pt: 1.9999999999999998  	diff:  把头A0.5 头头A0.5 领导人B0.6666666666666666 头儿B0.3333333333333333
  	class: 顺便  	d: 9  	pt: 1.9999999999999998  	diff:  顺带A1.0 附带B0.6666666666666666 捎带B0.3333333333333333
  	class: 领会  	d: 8  	pt: 1.9999999999999998  	diff:  会心A0.5 会意A0.5 领会B0.6666666666666666 领悟B0.3333333333333333
  	class: 首创  	d: 3  	pt: 1.9999999999999998  	diff:  始创A1.0 创始B0.9166666666666666 首创B0.08333333333333333
  	class: 热能  	d: 4  	pt: 1.9523809523809523  	diff:  热量A0.9761904761904762 热能AB0.9761904761904762
  	class: 旅客  	d: 4  	pt: 1.9393939393939394  	diff:  旅客AB0.9696969696969697 行人B0.9696969696969697
  	class: 爆裂  	d: 7  	pt: 1.9393939393939394  	diff:  崩裂A0.030303030303030304 爆AB0.9696969696969697 炸A0.9090909090909091 爆裂A0.030303030303030304
  	class: 乱糟糟  	d: 10  	pt: 1.9375  	diff:  失调A0.96875 打乱AB0.96875
  	class: 责备  	d: 30  	pt: 1.9047619047619049  	diff:  指责A0.3333333333333333 呲A0.047619047619047616 责怪A0.047619047619047616 指摘A0.047619047619047616 熊A0.2857142857142857 怨A0.047619047619047616 责A0.047619047619047616 诟病AB0.9523809523809523 责难A0.047619047619047616 斥责A0.047619047619047616
  	class: 汗  	d: 5  	pt: 1.9047619047619047  	diff:  汗A0.9523809523809523 汗水AB0.9523809523809523
  	class: 生活  	d: 12  	pt: 1.9047619047619047  	diff:  日子A0.8571428571428571 度日A0.047619047619047616 过日子AB0.4523809523809524 起居A0.047619047619047616 光阴B0.5
  	class: 新式  	d: 12  	pt: 1.9047619047619047  	diff:  新式AB0.9523809523809523 新颖B0.9523809523809523
