learn:dsjwz.csv check:jqzx.csv 	 Result: 	0.17495377868796333 	5443 	2292
  	class: 富裕  	d: 38  	pt: 1.6444444444444444  	diff:  宽裕A0.1111111111111111 宽AB0.7555555555555555 有钱A0.1111111111111111 富裕A0.1111111111111111 丰厚AB0.15555555555555556 富贵A0.3333333333333333 极富B0.06666666666666667
  	class: 听  	d: 3  	pt: 1.625  	diff:  收听A0.75 听听AB0.8125 听取A0.0625
  	class: 重量  	d: 7  	pt: 1.621621621621622  	diff:  份额AB0.664864864864865 重量AB0.14594594594594595 分量B0.8108108108108109
  	class: 筹备  	d: 7  	pt: 1.6  	diff:  筹备AB0.55 筹A0.25 筹划B0.1 制备B0.7
  	class: 暗  	d: 12  	pt: 1.6  	diff:  森AB0.8 昏暗B0.8
  	class: 窥探  	d: 11  	pt: 1.6  	diff:  窥视A0.8 窥AB0.04999999999999999 窥探B0.5 偷看B0.25
  	class: 跑  	d: 6  	pt: 1.6  	diff:  跑步A0.8 奔跑AB0.6888888888888889 跑动B0.1111111111111111
  	class: 出台  	d: 7  	pt: 1.6  	diff:  登场A0.4 上场A0.2 登台A0.2 出场AB0.8
  	class: 演出  	d: 9  	pt: 1.6  	diff:  上演AB0.8 表演A0.8
  	class: 骄傲  	d: 63  	pt: 1.5999999999999999  	diff:  骄傲A0.6 傲慢AB0.8 自大A0.2
  	class: 死  	d: 43  	pt: 1.5157894736842108  	diff:  死亡AB0.6912280701754386 回老家A0.06666666666666667 弱AB0.7228070175438597 逝世B0.017543859649122806 死去B0.017543859649122806
  	class: 女人  	d: 11  	pt: 1.5000000000000002  	diff:  女子A0.6666666666666666 女郎A0.08333333333333333 女士AB0.5833333333333334 妇女B0.16666666666666666
  	class: 强迫  	d: 13  	pt: 1.5000000000000002  	diff:  迫使AB0.5833333333333334 勒A0.75 强迫AB0.16666666666666669
  	class: 前锋  	d: 4  	pt: 1.5  	diff:  先锋AB0.75 前锋B0.75
  	class: 罪犯  	d: 9  	pt: 1.5  	diff:  犯人A0.25 罪犯A0.5 囚徒AB0.75
  	class: 圈套  	d: 4  	pt: 1.5  	diff:  陷阱AB0.75 骗局A0.75
  	class: 显露  	d: 17  	pt: 1.5  	diff:  显AB0.275 流露A0.25 露出A0.25 露AB0.07500000000000001 透A0.125 突显A0.125 显露B0.2 表露B0.2
  	class: 贴  	d: 9  	pt: 1.5  	diff:  贴AB0.35 粘A0.4 粘贴B0.75
  	class: 阶  	d: 2  	pt: 1.5  	diff:  阶梯AB0.75 台阶A0.75
  	class: 领土  	d: 12  	pt: 1.5  	diff:  疆土A0.3333333333333333 国土AB0.41666666666666663 版图B0.75
  	class: 讨厌  	d: 20  	pt: 1.5  	diff:  厌烦A0.75 讨厌AB0.4642857142857143 嫌B0.14285714285714285 厌恶B0.14285714285714285
  	class: 害处  	d: 7  	pt: 1.5  	diff:  坏处AB0.5 弊病A0.25 弊端B0.75
  	class: 理想  	d: 17  	pt: 1.5  	diff:  抱负AB0.75 志向B0.25 雄心B0.5
  	class: 真话  	d: 7  	pt: 1.5  	diff:  心声A0.75 实话AB0.75
  	class: 结语  	d: 3  	pt: 1.5  	diff:  结束语AB0.75 结语B0.75
  	class: 升降  	d: 9  	pt: 1.5  	diff:  升降AB0.25 起降A0.5 起伏B0.75
  	class: 亲密  	d: 37  	pt: 1.5  	diff:  亲密AB0.08333333333333331 贴心A0.6666666666666666 亲爱B0.5 亲切B0.25
  	class: 幸亏  	d: 10  	pt: 1.5  	diff:  幸好A0.75 亏AB0.75
  	class: 检查  	d: 16  	pt: 1.5  	diff:  验AB0.75 检视B0.75
  	class: 接替  	d: 6  	pt: 1.5  	diff:  接替AB0.75 接手B0.25 接任B0.5
  	class: 编录  	d: 5  	pt: 1.5  	diff:  摘录AB0.75 剪辑B0.75
  	class: 增值  	d: 2  	pt: 1.5  	diff:  升值A0.75 增值AB0.75
  	class: 谈天  	d: 23  	pt: 1.4545454545454546  	diff:  聊聊AB0.7272727272727273 闲聊B0.6363636363636364 闲话B0.09090909090909091
