learn:dsjwz.csv check:gkw.csv 	 Result: 	0.20334924609206384 	7066 	2612
  	class: 搜罗  	d: 4  	pt: 2.0  	diff:  网罗A1.0 收罗B1.0
  	class: 莅临  	d: 16  	pt: 2.0  	diff:  光顾A1.0 莅临B1.0
  	class: 量刑  	d: 2  	pt: 2.0  	diff:  量刑A1.0 处刑B1.0
  	class: 分裂  	d: 7  	pt: 2.0  	diff:  瓦解A1.0 分裂B1.0
  	class: 剥夺  	d: 3  	pt: 2.0  	diff:  禁用A1.0 剥夺B1.0
  	class: 受贿  	d: 6  	pt: 2.0  	diff:  受惠A1.0 受贿B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  熟睡A1.0 沉睡B1.0
  	class: 停滞  	d: 5  	pt: 2.0  	diff:  停滞A1.0 僵化B0.5 驻足B0.5
  	class: 变味  	d: 2  	pt: 2.0  	diff:  变味A1.0 霉变B1.0
  	class: 告罄  	d: 5  	pt: 2.0  	diff:  销毁A1.0 绝迹B0.5 绝灭B0.5
  	class: 情欲  	d: 5  	pt: 1.9999999999999998  	diff:  情欲A0.7777777777777778 肉欲A0.1111111111111111 人事A0.1111111111111111 性欲B0.6666666666666666 春B0.3333333333333333
  	class: 尖锐  	d: 9  	pt: 1.9999999999999998  	diff:  锐利A1.0 锋利B0.6666666666666666 尖B0.3333333333333333
  	class: 雕刻  	d: 18  	pt: 1.9999999999999998  	diff:  雕刻A1.0 刻B0.2 雕琢B0.3333333333333333 雕像B0.2 琢磨B0.26666666666666666
  	class: 兴致  	d: 9  	pt: 1.9999999999999998  	diff:  来头A1.0 兴致B0.6666666666666666 劲头B0.3333333333333333
  	class: 特长  	d: 12  	pt: 1.9999999999999998  	diff:  专长A1.0 特长B0.6666666666666666 杀手锏B0.3333333333333333
  	class: 感觉  	d: 3  	pt: 1.9999999999999998  	diff:  感性A1.0 知觉B0.6666666666666666 神志B0.3333333333333333
  	class: 稳重  	d: 11  	pt: 1.9999999999999998  	diff:  稳健A1.0 稳重B0.6666666666666666 凝重B0.3333333333333333
  	class: 散步  	d: 7  	pt: 1.9999999999999998  	diff:  走走A1.0 转转B0.4 散步B0.4 溜达B0.2
  	class: 鸟瞰  	d: 3  	pt: 1.9999999999999998  	diff:  鸟瞰A1.0 俯视B0.6666666666666666 俯瞰B0.3333333333333333
  	class: 羡慕  	d: 15  	pt: 1.9999999999999998  	diff:  艳羡A1.0 羡慕B0.4 红眼B0.4 眼馋B0.2
  	class: 迥  	d: 17  	pt: 1.9999999999999998  	diff:  上下床A1.0 悬殊B0.6666666666666666 迥异B0.3333333333333333
  	class: 爆裂  	d: 7  	pt: 1.9393939393939394  	diff:  爆裂AB0.9696969696969697 崩裂B0.030303030303030304 爆B0.030303030303030304 炸B0.9090909090909091
  	class: 温柔  	d: 16  	pt: 1.8947368421052628  	diff:  平易近人AB0.9473684210526316 温柔B0.3157894736842105 温润B0.10526315789473684 温和B0.47368421052631576 和约B0.05263157894736842
  	class: 结冰  	d: 9  	pt: 1.891891891891892  	diff:  冻结AB0.9459459459459459 结冰B0.21621621621621623 冻B0.43243243243243246 冰冻B0.21621621621621623 冷冻B0.08108108108108109
  	class: 肠  	d: 4  	pt: 1.8857142857142857  	diff:  肠AB0.9428571428571428 肠道B0.9428571428571428
  	class: 豪饮  	d: 7  	pt: 1.8823529411764706  	diff:  畅饮AB0.9411764705882353 饮用B0.8235294117647058 豪饮B0.058823529411764705 饮水B0.058823529411764705
  	class: 梦幻  	d: 9  	pt: 1.8805970149253735  	diff:  梦见AB0.9402985074626866 梦幻B0.014925373134328358 梦B0.5074626865671642 梦境B0.3880597014925373 梦乡B0.029850746268656716
  	class: 装饰  	d: 5  	pt: 1.8666666666666667  	diff:  装修AB0.9333333333333333 装饰B0.9333333333333333
  	class: 膨胀  	d: 9  	pt: 1.8666666666666665  	diff:  暴涨AB0.9333333333333333 膨胀B0.7333333333333333 膨大B0.06666666666666667 胀B0.13333333333333333
  	class: 细菌  	d: 2  	pt: 1.8545454545454545  	diff:  菌AB0.9272727272727272 细菌B0.9272727272727272
  	class: 手指  	d: 4  	pt: 1.8461538461538463  	diff:  指尖AB0.9230769230769231 指头B0.15384615384615385 手指B0.6923076923076923 手指头B0.07692307692307693
  	class: 烧火  	d: 7  	pt: 1.846153846153846  	diff:  燃爆AB0.9230769230769231 烧火B0.07692307692307693 生火B0.15384615384615385 着火B0.6923076923076923
  	class: 算  	d: 5  	pt: 1.846153846153846  	diff:  算作AB0.9230769230769231 当成B0.8461538461538461 不失为B0.07692307692307693
  	class: 忍耐  	d: 10  	pt: 1.8333333333333333  	diff:  容忍AB0.9166666666666666 耐受B0.4166666666666667 忍耐B0.16666666666666666 耐B0.3333333333333333
  	class: 品尝  	d: 8  	pt: 1.8181818181818181  	diff:  品AB0.9090909090909091 尝B0.09090909090909091 品尝B0.7272727272727273 品味B0.09090909090909091
  	class: 健康  	d: 27  	pt: 1.8181818181818181  	diff:  强健AB0.9090909090909091 强壮B0.45454545454545453 健壮B0.18181818181818182 健硕B0.18181818181818182 皮实B0.09090909090909091
  	class: 便利  	d: 12  	pt: 1.8181818181818181  	diff:  省事AB0.40909090909090906 便捷A0.7272727272727273 简便A0.18181818181818182 轻便B0.5
  	class: 煮  	d: 9  	pt: 1.8095238095238095  	diff:  扒AB0.9047619047619048 煮B0.7380952380952381 焖B0.047619047619047616 卧B0.047619047619047616 炖B0.07142857142857142
  	class: 删除  	d: 10  	pt: 1.8069767441860467  	diff:  剔除AB0.13779069767441862 删除AB0.7084302325581395 删去A0.023255813953488372 去除AB0.0034883720930232592 删减AB0.010755813953488371 删A0.023255813953488372 抹B0.9
  	class: 嵌  	d: 4  	pt: 1.8000000000000003  	diff:  嵌AB0.9 镶嵌B0.8 镶B0.1
  	class: 不变  	d: 13  	pt: 1.8  	diff:  有序AB0.9 静止B0.9
  	class: 倾听  	d: 7  	pt: 1.8  	diff:  聆A0.9 倾听AB0.3285714285714285 聆听B0.5714285714285714
  	class: 编录  	d: 5  	pt: 1.8  	diff:  摘录AB0.9 剪辑B0.9
  	class: 涨潮  	d: 5  	pt: 1.8  	diff:  提速AB0.9 来潮B0.6 涨潮B0.2 涨价B0.1
  	class: 聚齐  	d: 6  	pt: 1.7837837837837838  	diff:  汇总A0.8918918918918919 汇集AB0.8918918918918919
  	class: 行市  	d: 4  	pt: 1.7777777777777777  	diff:  行情AB0.8888888888888888 盘子B0.8888888888888888
  	class: 晦涩  	d: 7  	pt: 1.7777777777777777  	diff:  晦涩AB0.6388888888888888 艰涩A0.25 涩B0.5555555555555556 拗口B0.2222222222222222 隐晦B0.1111111111111111
  	class: 冷却  	d: 5  	pt: 1.7735849056603774  	diff:  冷却AB0.8867924528301887 冷B0.7924528301886793 凉B0.09433962264150944
  	class: 苦寒  	d: 20  	pt: 1.75  	diff:  惨烈AB0.875 严寒B0.875
  	class: 心安  	d: 7  	pt: 1.75  	diff:  宽慰AB0.875 安心B0.5 心安B0.125 欣慰B0.25
  	class: 游荡  	d: 9  	pt: 1.75  	diff:  游荡A0.3333333333333333 逛AB0.20833333333333331 闲逛A0.3333333333333333 逛荡B0.125 逛逛B0.125 游B0.625
  	class: 卵泡  	d: 4  	pt: 1.7391304347826086  	diff:  气泡AB0.8695652173913043 卵泡B0.8695652173913043
  	class: 互相  	d: 11  	pt: 1.7338235294117648  	diff:  交互AB0.5963235294117647 并行A0.27058823529411763 相AB0.8669117647058824
  	class: 狐仙  	d: 5  	pt: 1.7142857142857144  	diff:  异类AB0.8571428571428572 异物B0.8571428571428571
  	class: 工场  	d: 5  	pt: 1.7142857142857144  	diff:  工场AB0.8571428571428572 房B0.8571428571428571
  	class: 倍数  	d: 4  	pt: 1.7142857142857144  	diff:  倍数AB0.8571428571428572 翻番A0.8571428571428571
  	class: 极目  	d: 9  	pt: 1.7142857142857144  	diff:  一览A0.42857142857142855 放眼AB0.8571428571428572 概览A0.42857142857142855
  	class: 胜败  	d: 5  	pt: 1.7142857142857144  	diff:  成败AB0.8571428571428572 胜负B0.7142857142857143 高下B0.14285714285714285
  	class: 能手  	d: 18  	pt: 1.7142857142857142  	diff:  王牌A0.42857142857142855 棋手A0.42857142857142855 高手AB0.35714285714285715 能手B0.35714285714285715 宗师B0.07142857142857142 巨匠B0.07142857142857142
  	class: 泡  	d: 11  	pt: 1.7027027027027029  	diff:  泡沫AB0.8513513513513513 泡B0.28378378378378377 浸泡B0.1891891891891892 浸入B0.013513513513513514 泡泡B0.36486486486486486
  	class: 钳制  	d: 8  	pt: 1.7000000000000002  	diff:  制约AB0.6 掣肘A0.25 制B0.75 钳B0.1
  	class: 住房  	d: 9  	pt: 1.692307692307692  	diff:  宅AB0.5794871794871794 住房A0.8461538461538461 居室B0.2 住宅B0.06666666666666667
  	class: 空闲  	d: 15  	pt: 1.692307692307692  	diff:  闲AB0.34615384615384615 空余A0.5 空闲B0.23076923076923078 没事B0.46153846153846156 闲暇B0.15384615384615385
  	class: 喷  	d: 15  	pt: 1.6842105263157892  	diff:  喷气AB0.34210526315789475 喷发A0.5 喷B0.18421052631578946 喷射B0.13157894736842105 喷涌B0.02631578947368421 滋B0.05263157894736842 射B0.39473684210526316 喷洒B0.05263157894736842
  	class: 人格  	d: 5  	pt: 1.6779388083735909  	diff:  品质AB0.5056360708534622 人格AB0.8389694041867954 质地B0.2222222222222222 人品B0.1111111111111111
  	class: 困境  	d: 8  	pt: 1.6666666666666667  	diff:  困境AB0.8333333333333334 窘境B0.6666666666666666 泥沼B0.16666666666666666
  	class: 梳头  	d: 4  	pt: 1.6666666666666667  	diff:  梳理AB0.8333333333333334 梳B0.8333333333333334
  	class: 照亮  	d: 5  	pt: 1.6666666666666667  	diff:  照明AB0.8333333333333334 照亮B0.8333333333333334
  	class: 忧愁  	d: 17  	pt: 1.6666666666666667  	diff:  忧伤AB0.8333333333333334 愁B0.3333333333333333 发愁B0.3333333333333333 忧愁B0.16666666666666666
  	class: 升降  	d: 9  	pt: 1.6666666666666667  	diff:  升降A0.5 起降AB0.33333333333333337 涨落B0.16666666666666666 起伏B0.3333333333333333 沉降B0.16666666666666666 涨跌B0.16666666666666666
  	class: 揭露  	d: 7  	pt: 1.6666666666666667  	diff:  揭开AB0.8333333333333334 揭露B0.6666666666666666 揭秘B0.16666666666666666
  	class: 改过  	d: 25  	pt: 1.6666666666666667  	diff:  回头A0.8333333333333334 洗心革面AB0.33333333333333337 悔过B0.5
  	class: 实现  	d: 6  	pt: 1.6666666666666667  	diff:  落实A0.8333333333333334 兑现AB0.08333333333333334 贯彻B0.75
  	class: 挽回  	d: 4  	pt: 1.6666666666666667  	diff:  扭转AB0.8333333333333334 挽回B0.5 扳回B0.3333333333333333
  	class: 盗窃  	d: 18  	pt: 1.6666666666666665  	diff:  盗窃A0.3333333333333333 偷走AB0.25 盗取AB0.25 偷B0.5 盗伐B0.3333333333333333
  	class: 烦闷  	d: 31  	pt: 1.6666666666666663  	diff:  苦于AB0.17916666666666667 苦闷A0.2 心烦A0.2 堵AB0.05416666666666667 沉闷A0.2 沉郁B0.041666666666666664 烦恼B0.125 抑郁B0.4166666666666667 苦恼B0.0625 糟心B0.020833333333333332 憋气B0.020833333333333332 烦躁B0.10416666666666667 愤懑B0.020833333333333332 烦心B0.020833333333333332
  	class: 插画  	d: 2  	pt: 1.66  	diff:  插图AB0.83 插画AB0.83
  	class: 照射  	d: 10  	pt: 1.6595744680851066  	diff:  映射A0.8297872340425532 炫耀AB0.2912234042553192 投AB0.30984042553191493 投射AB0.16622340425531915 照射B0.0625
  	class: 仍  	d: 17  	pt: 1.6363636363636362  	diff:  扔掉AB0.8181818181818181 甩开B0.13636363636363635 甩掉B0.045454545454545456 投向B0.13636363636363635 拽B0.36363636363636365 投掷B0.13636363636363635
  	class: 迁移  	d: 8  	pt: 1.630952380952381  	diff:  迁移AB0.7312925170068028 搬AB0.08418367346938777 迁徙AB0.8154761904761905
  	class: 讨厌  	d: 20  	pt: 1.6271186440677965  	diff:  厌烦AB0.7330508474576272 讨厌AB0.0805084745762712 嫌B0.1864406779661017 腻B0.1016949152542373 恶B0.01694915254237288 厌恶B0.06779661016949153 头痛B0.4406779661016949
  	class: 不断  	d: 34  	pt: 1.625  	diff:  穿梭AB0.2708333333333333 不息AB0.2708333333333333 连发AB0.2708333333333333 不住B0.5 不休B0.25 不辍B0.0625
  	class: 出台  	d: 7  	pt: 1.6111111111111112  	diff:  登场AB0.37222222222222223 上场A0.2 登台AB0.14444444444444446 出场AB0.0888888888888889 出演B0.8055555555555556
  	class: 车轮  	d: 5  	pt: 1.6  	diff:  轮子A0.6 轮A0.2 车轮AB0.8
  	class: 打架  	d: 16  	pt: 1.6  	diff:  打斗AB0.3 打架A0.5 交手B0.2 斗B0.6
  	class: 花卉  	d: 4  	pt: 1.6  	diff:  花卉AB0.8 花草B0.7 花木B0.1
  	class: 圆圈  	d: 4  	pt: 1.6  	diff:  圆形AB0.8 线圈A0.2 圆圈A0.6
  	class: 重量  	d: 7  	pt: 1.6  	diff:  份额A0.8 重量AB0.3333333333333333 分量B0.4666666666666667
  	class: 全家  	d: 6  	pt: 1.6  	diff:  一家子AB0.8 合家B0.2 全家B0.6
  	class: 绚丽  	d: 19  	pt: 1.6  	diff:  灿烂AB0.8 绚丽B0.8
  	class: 目睹  	d: 12  	pt: 1.6  	diff:  观摩A0.5 目睹AB0.3 目击B0.8
  	class: 踏实  	d: 15  	pt: 1.5999999999999999  	diff:  扎实AB0.8 朴实B0.6 踏实B0.2
  	class: 漏洞  	d: 7  	pt: 1.5789473684210527  	diff:  漏洞AB0.7125506072874495 纰漏A0.07692307692307693 尾巴B0.7894736842105263
